name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,351.9003646012325
Load 04,500.0,184.0,532.7813810560575,Bus 04,345.18897029000294
Load 07,233.8000030517578,84.0,248.43196538892082,Bus 07,342.78017121020054
Load 08,522.0,176.0,550.8720359575352,Bus 08,342.01793050292383
Load 12,7.5,88.0,88.31902399823042,Bus 12,138.44743656762662
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.822883943797,Bus 18,352.21356446215555
Load 20,628.0,103.0,636.3906033247192,Bus 20,226.17527090360483
Load 21,274.0,115.0,297.15484179127895,Bus 21,347.8799706005139
Load 23,247.5,84.5999984741211,261.55957207072595,Bus 23,346.5808366704118
Load 24,308.6000061035156,-92.19999694824219,322.0788773023554,Bus 24,353.45261134490624
Load 25,224.0,47.20000076293945,228.91885040778425,Bus 25,352.31857944225794
Load 26,139.0,17.0,140.03570973148246,Bus 26,363.9323715452417
Load 27,281.0,75.5,290.96606331323244,Bus 27,356.84485430722503
Load 28,206.0,27.600000381469727,207.8407082865556,Bus 28,373.3349558997811
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,375.8460407655591
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.9522958146251,Bus 39,345.0000001990323
