Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,9.378022227586449,12190989.48507366,inf,Strong,6513.0572
BUS 26,14.159975512778157,14.147924211726098,14.159975512778157,Strong,4526.8026
BUS 34,11.05060275590551,976058.2025294974,inf,Strong,5613.7062
BUS 36,10.974975714285714,3786021.9728211146,inf,Strong,6145.9864
BUS 33,11.864462974683544,1263924.7883125897,inf,Strong,7498.3406
BUS 32,11.054615692307692,16951810.06303583,inf,Strong,7185.5002
BUS 29,10.393522583556484,10.374574514675134,10.393522583556484,Strong,2327.1098
BUS 39,57.8074974421925,9483855.972078618,inf,Strong,57807.4975
BUS 35,11.408100153846153,5099412.36255911,inf,Strong,7415.2651
BUS 30,34.01606706393573,57101.76816575656,inf,Strong,8504.0168
