Bus,Bus 01,Bus 02,Bus 03,Bus 04,Bus 05,Bus 06,Bus 07,Bus 08,Bus 09,Bus 10,Bus 11,Bus 12,Bus 13,Bus 14,Bus 15,Bus 16,Bus 17,Bus 18,Bus 19,Bus 20,Bus 21,Bus 22,Bus 23,Bus 24,Bus 25,Bus 26,Bus 27,Bus 28,Bus 29,Bus 30,Bus 31,Bus 32,Bus 33,Bus 34,Bus 35,Bus 36,Bus 39,PV1 LV,PV2 LV
Bus 01,(1.5528397237124651+18.79135320562871j),(0.8145432447762404+0.6258976012966615j),(0.13719651773884828-0.06366428093910516j),(0.001672533500769939-0.009877241232060055j),(0.0006246625182787701-0.0032564043219651764j),(-0.00029687031445325117-0.0016110530747204454j),(0.00015886995189313616-0.0026617126509816524j),(0.003766016209088393-0.004516368286415895j),(0.1760933630874259+0.019548061557313992j),(-0.00026574564976439535-0.00025827544578118673j),(-0.00016976691522975666-0.0008849995596204027j),(-0.00016522073784984458-0.0008910110787974764j),(-0.00016209377309440323-0.00090737635165511j),(0.000294153414262863-0.003956832611791291j),(-0.0007914367306930067-0.00047654753910344593j),(-0.0012411742056762907-0.002641152699133895j),(0.005564770208085693-0.017758699392244334j),(0.01501877953604104-0.039165567877975524j),(-7.140398806025795e-05-3.576274946358564e-06j),(-6.72794557142965e-05+6.3589448175135455e-06j),(-0.0004677087788299377-0.0001487418616605987j),(-2.780011908922209e-05+2.915253748966352e-05j),(-7.339269690289015e-06+3.846462354008411e-05j),(-0.0012548537257087511+0.0002047930150281823j),(0.24992295147656002+0.054391768567232844j),(0.0004968179833421677+0.00011690008402896136j),(-0.0015025174331776935-0.0021767327627975337j),(2.6573988769176674e-05-2.786440062720315e-05j),(6.403203665869027e-07+3.39156189967181e-08j),(0.8246382217748772+0.5773595337535651j),(-0.0003652779305291313-0.0015194522661890698j),(-0.00027560697772362316-0.00021931001293050648j),(-6.949347582167589e-05+1.3014305710879182e-06j),(-6.546159775698917e-05+9.702941405968247e-06j),(-2.5058549661480187e-05+3.043478292341413e-05j),(-3.2153860482388374e-06+3.843747743843862e-05j),(0.29372943481219504+0.039175967816532334j),(-1.6903441559951262e-09-1.0849559675906235e-08j),(1.8897889273500983e-06-2.963499948301438e-05j)
Bus 02,(0.8145432447762402+0.6258976012966614j),(2.1775050534586575+1.6172495403122737j),(0.35950703394180206-0.17400815645975604j),(0.0042019463339833425-0.02577837797826436j),(-0.0001475110720743856-0.005186640869177476j),(-0.0008751432999658891-0.002049804931596961j),(-0.0007224534735046692-0.00035815118658712164j),(-0.0005960784529837148-0.0006136329941184254j),(0.007014997390332893-0.006506365427361955j),(-0.0005745549453595965-0.0005419231304044237j),(-0.00039327806147619067-0.0018630672947541377j),(-0.000380510722988142-0.0018935218130510661j),(-0.0003710980093356356-0.0019459954586929678j),(0.0007285025472932762-0.01013158835373116j),(-0.0020813903366509877-0.0012121037045761266j),(-0.003386430686445989-0.006921745007295098j),(0.013929869864620697-0.04713030621610025j),(0.03796818194004259-0.10405947343638995j),(-0.00018866956325582103-6.482473454769306e-06j),(-0.00017736813660104787+1.957760787531668e-05j),(-0.001241013348907206-0.0003733232218122254j),(-7.218972951787455e-05+7.812103293572651e-05j),(-1.7782867858749363e-05+0.00010185878584011862j),(-0.0033045854594405733+0.0005927086157662136j),(0.662169794110741+0.13280527934278363j),(0.001316695562501615+0.00028716508852075597j),(-0.004060963383189918-0.005682944443193729j),(6.895408654951649e-05-7.471257196132922e-05j),(1.69197034194805e-06+6.187925088781343e-08j),(2.2020603951341124+1.4886683746405112j),(-0.0009385916066754813-0.0019077895375872844j),(-0.0005943272394049637-0.00045857125426591205j),(-0.00018342323823054932+6.3164911215395675e-06j),(-0.00017243000899699347+2.833110339808385e-05j),(-6.489826996391192e-05+8.139279098780997e-05j),(-6.896085390343076e-06+0.00010161618308416327j),(0.012338983257207963-0.010404462169241483j),(-4.931354521398575e-09-2.8570823978899693e-08j),(3.7090190035448344e-06-7.832078718413704e-05j)
Bus 03,(0.1371965177388483-0.06366428093910517j),(0.35950703394180217-0.1740081564597561j),(2.455294860031294+0.9625713732051433j),(0.14382828229582334-0.0951517268907004j),(0.02424405269072437-0.0234928195089309j),(0.006005867197910261-0.013127165384816057j),(-0.0016580613282935757-0.00418021147059574j),(-0.001158989835920772-0.004062268277912596j),(-0.0007855647449431223-0.00303891858284922j),(7.018527697798607e-05-0.0051965110427352745j),(0.007280217527495766-0.010193682286088983j),(0.007485253665957706-0.01027031960504323j),(0.007782095545037777-0.01046119940215491j),(0.05239546792955936-0.041843254844949454j),(-0.0034520012042915547-0.015510271438523134j),(0.018330681067604323-0.047408755949984845j),(0.29055129646639677-0.14375943789288054j),(0.6745406037855834-0.2823923391931354j),(-0.0008140519573628911-0.0009423199085023888j),(-0.0008895562554600334-0.0007708387559683573j),(-0.0037538937885422037-0.007680102412898279j),(-0.0007016350164299467+6.20613231760948e-07j),(-0.0005727418201799579+0.0003703510837368007j),(-0.01767695254314897-0.013340205170948236j),(0.062452291037624064-0.07739428876944503j),(0.00017196631378815674-0.00035360097721733264j),(0.007812584030564479-0.045356600604361676j),(-1.6443120898041224e-05-2.4689372880434815e-05j),(1.3389208569851237e-07-4.755012245296445e-07j),(0.34439682251074-0.18597675359128438j),(0.00504893839737969-0.01281213656327208j),(-0.0004218297212137583-0.004921450684379627j),(-0.000852497631617627-0.0008595722650736033j),(-0.0009098005127663826-0.0007077107729955444j),(-0.0006847991210768666+5.057636729561025e-05j),(-0.0005227836555744503+0.00042196241927617157j),(-0.0005443276501649336-0.002318984082030659j),(-8.440323446871364e-09-5.663581584406431e-10j),(-2.1952724397924867e-05-6.437322343601057e-06j)
Bus 04,(0.0016725335007699376-0.009877241232060047j),(0.004201946333983341-0.025778377978264353j),(0.14382828229582334-0.09515172689070042j),(1.4153268884876757+0.8616411636344079j),(0.3034037850106969+0.11526304329102263j),(0.13870599706437056-0.000846199863507674j),(0.02977130278642555-0.031244968339175967j),(0.030669605609563222-0.02619368695091442j),(0.012532631932030925-0.010675160597224632j),(0.04559204725945255-0.019199378575385864j),(0.11668461027834445+0.024595631269911634j),(0.11811601658985774+0.02613181772217086j),(0.12089386337092245+0.02803319665925689j),(0.5631201269935687+0.30139180224389495j),(0.05325475839711444-0.018423317474854168j),(0.0024646859325797104-0.01038876022384434j),(0.004663049705625583-0.02460005564166154j),(0.009854970232096666-0.048192456130200956j),(-0.00019625867733182674-0.00017292929557183597j),(-0.00020708850100504-0.00013509028876727461j),(-0.0009999994706057012-0.0014914595182867955j),(-0.00014600603415555196+2.0112898434065696e-05j),(-0.00010865034554195333+9.33898104618129e-05j),(-0.004058864338556128-0.00227288354811043j),(-0.0017941859120258457-0.006251038726460942j),(-1.372772986772407e-05-2.461752246520211e-05j),(-0.002431665744979144-0.002592461884816324j),(-2.1259296035348676e-06-4.6595437891230675e-08j),(-2.2455181939035823e-08-2.738160305347707e-08j),(0.0029935212748470035-0.025419693697215064j),(0.13208481325535137-0.007907833710881454j),(0.0413171521064746-0.022442121304078817j),(-0.00020190316879662028-0.00015461292616717j),(-0.00020950372903681783-0.00012137555392455909j),(-0.0001410793379809705+3.00301350182224e-05j),(-9.678311584357005e-05+0.00010270822778076958j),(-0.00026478092116262653-0.00028895074535529404j),(-3.796281892533702e-10+4.728703161906407e-10j),(-1.279180099954451e-06+1.0262019983708002e-06j)
Bus 05,(0.0006246625182787704-0.003256404321965176j),(-0.000147511072074385-0.005186640869177477j),(0.02424405269072437-0.023492819508930902j),(0.3034037850106969+0.11526304329102262j),(0.7205056672349193+2.840255310498184j),(0.6657353676097085+0.9362407340247293j),(0.3642958176057821+0.05175591519674284j),(0.3476420349421219+0.09370200136528649j),(0.14200903965825948+0.03923384191978692j),(0.10021456982050735+0.010580560308770602j),(0.18885000760930723+0.1691392431746016j),(0.18502052638308922+0.16276526466627472j),(0.1832339648455811+0.15836677303066862j),(0.19091604820202304+0.10846366257098851j),(0.01855495140284253-0.005817751514556036j),(0.0010837465237963856-0.0030506461900070376j),(0.0003853650974380447-0.005390155262204328j),(0.00016282643336144322-0.009870162914814922j),(-5.348550896154384e-05-5.856481056028648e-05j),(-5.7991301805746845e-05-4.751421357398352e-05j),(-0.00025250303005418603-0.0004823790782530705j),(-4.467067592290689e-05+1.2728170897785655e-06j),(-3.5814395001060695e-05+2.4586289915245542e-05j),(-0.0011489067807621488-0.0008182737006426395j),(-0.0005845969384698171-0.0011521755075342682j),(-3.6559160161969526e-06-4.647152090995513e-06j),(-0.0005860044552869983-0.0004950036781335944j),(-4.419599278169007e-07+6.046820921634978e-08j),(-5.555128348092598e-09-4.931914497163925e-09j),(-0.00036979832697373337-0.005071324779641564j),(0.6820998157734299+0.8577556358215084j),(0.09577691654123244+0.000591953386211732j),(-5.578782166275741e-05-5.3228847358884874e-05j),(-5.91692515080275e-05-4.3459390499418254e-05j),(-4.3510956418022215e-05+4.423811510585275e-06j),(-3.254293350990291e-05+2.7784471160318043e-05j),(0.0010478011449064138-0.002055972075494389j),(-6.304947084530027e-11+1.104848367955671e-10j),(-2.31156197368993e-07+2.547877005767238e-07j)
Bus 06,(-0.00029687031445325084-0.0016110530747204452j),(-0.0008751432999658888-0.00204980493159696j),(0.006005867197910257-0.013127165384816055j),(0.13870599706437056-0.0008461998635076557j),(0.6657353676097085+0.9362407340247295j),(0.8844633137983321+1.350706519787836j),(0.36947683430521755+0.08495344741231291j),(0.2035439436232978-0.036137900585347923j),(0.08338218210167424-0.014265651371814203j),(0.13253353338171223+0.022309697019142625j),(0.23844086703900505+0.24133501068152574j),(0.23293333881580452+0.23185293641744836j),(0.22998312937211327+0.22516823293096538j),(0.15265621093941517+0.09925107691522929j),(0.015703486910677033-0.0038663706787452805j),(0.00114293059957553-0.0021796662315570507j),(-0.00020967270213612612-0.002634667437791229j),(-0.0014197290973479969-0.0042033992765895395j),(-3.3970327645258765e-05-4.981460674195322e-05j),(-3.8547006942301154e-05-4.198126148887814e-05j),(-0.00013828252127061658-0.00039013230356966676j),(-3.3756029642770606e-05-3.834658454419366e-06j),(-2.9591964972098733e-05+1.466139444582672e-05j),(-0.0007768852672466421-0.0007391016266892893j),(-0.00041499429369367584-0.00036852852057940117j),(-2.2153457278481283e-06-1.686074987932469e-06j),(-0.0003196961947130791-0.00019625696905466088j),(-1.9428810265699216e-07+7.977939597719434e-08j),(-3.114598540475401e-09-1.5914603968251064e-09j),(-0.0009458414859782329-0.00196873513397466j),(0.9116757171205103+1.2413673030125196j),(0.1274461209048446+0.008649004795753451j),(-3.627554509670515e-05-4.6045730952889325e-05j),(-3.9868570815043594e-05-3.905595128628473e-05j),(-3.322127761296067e-05-1.3387743314240342e-06j),(-2.7472963240668872e-05+1.7419354504605542e-05j),(4.70071392601759e-05-0.0013261094926917548j),(-1.5681828215452525e-11+5.780543514627244e-11j),(-7.524998956351947e-08+1.4343718655344045e-07j)
Bus 07,(0.00015886995189313643-0.002661712650981651j),(-0.0007224534735046689-0.0003581511865871214j),(-0.0016580613282935748-0.004180211470595739j),(0.029771302786425553-0.03124496833917595j),(0.3642958176057821+0.05175591519674291j),(0.36947683430521755+0.08495344741231295j),(1.6271268416769145+1.685624391447998j),(0.6370034560528725-0.021050855022541393j),(0.2607362008295293-0.00697950411737365j),(0.026030806068392-0.018023522035253366j),(0.07988333563488034+0.0015534368936992102j),(0.07741992432514841+0.0008286552213371476j),(0.0758479011833126+0.00015547803511963693j),(0.04429317299615053-0.011361039635059349j),(0.0019519138134505402-0.0035576945247751466j),(-0.00022488392358655115-0.0005771023623353033j),(-0.0006198789979799915-0.0004555754797904608j),(-0.001230510743941256-0.0005702897419387835j),(-1.5068674495403829e-05-1.7829782519419317e-06j),(-1.4338005643650402e-05+3.8008680396810917e-07j),(-9.690236632744611e-05-3.821506119318684e-05j),(-6.30553765485052e-06+5.773815132003023e-06j),(-2.1066450020766923e-06+8.039594017188537e-06j),(-0.00026866146985062803+2.5340176549197e-05j),(-0.00020074887347516557-3.8453045301859e-06j),(-8.737703401433673e-07+1.1318292710772347e-07j),(-0.00010409674263034916+3.30037865301084e-05j),(-2.5993965663078726e-08+6.117633909614903e-08j),(-1.0551708858920112e-09+3.3450567859435477e-10j),(-0.0007228472217672623-0.0003192368455752306j),(0.35630475072972256+0.062007440807251346j),(0.02292661422218382-0.01949222323564292j),(-1.4734183060363487e-05-7.22663174085239e-07j),(-1.4001102970627085e-05+1.1143026670236332e-06j),(-5.743419599153941e-06+6.084716660248768e-06j),(-1.2330081574551275e-06+8.093083655819651e-06j),(0.0007626336964415101-0.004023822249542904j),(9.327371888597942e-12+1.6501686867954166e-11j),(1.4964216443635733e-08+4.902954014925488e-08j)
Bus 08,(0.003766016209088393-0.004516368286415896j),(-0.0005960784529837146-0.0006136329941184255j),(-0.001158989835920773-0.004062268277912595j),(0.030669605609563215-0.026193686950914428j),(0.3476420349421219+0.09370200136528645j),(0.2035439436232978-0.03613790058534795j),(0.6370034560528723-0.021050855022541448j),(1.2441400336899342+0.759419094462269j),(0.5071960587613762+0.31397184253835925j),(0.009507252165814557-0.015053621007695151j),(0.041601719507714435-0.016756394255130317j),(0.04024961300954889-0.0166007989519827j),(0.03937018015433312-0.016614570627207406j),(0.028235338396613387-0.017091061777689258j),(0.0005998654665440899-0.002863828807692993j),(-0.00030463149573551273-0.000368561259771304j),(-0.0005903981929019334-0.00038940121014657185j),(-0.0010916500074972966-0.0006057321297340652j),(-1.1477637925807634e-05+2.342946377611368e-06j),(-1.0418101318941194e-05+3.7515526131198773e-06j),(-8.028860425913002e-05-4.541126179823713e-06j),(-3.2236102400820883e-06+5.759691943726053e-06j),(4.031122175414109e-07+6.403520441613578e-06j),(-0.00019079861843046602+8.364999698842499e-05j),(-0.00019943485308668895-7.48055990861946e-05j),(-8.220775821749411e-07-1.9906129482238155e-08j),(-9.406508464172493e-05+3.514299720455324e-05j),(-3.2680404910466896e-08+5.273169811398973e-08j),(-1.0208900610955164e-09+1.5843742854614746e-10j),(-0.000610227668174426-0.0005748458022763847j),(0.19204100892045342-0.04484560556428646j),(0.007577669047877415-0.015130909007154317j),(-1.0975617681857911e-05+3.0391672616079556e-06j),(-9.993301012836694e-06+4.208149457989288e-06j),(-2.736255456799459e-06+5.8514358944132585e-06j),(1.0564690608829293e-06+6.23111837541383e-06j),(0.006515290259241722-0.006735290409146997j),(6.256052533760852e-12+1.6548303814360896e-11j),(6.827951479767863e-09+4.735428874710543e-08j)
Bus 09,(0.17609336308742593+0.019548061557314002j),(0.007014997390332893-0.0065063654273619514j),(-0.0007855647449431216-0.00303891858284922j),(0.01253263193203093-0.010675160597224636j),(0.1420090396582595+0.03923384191978693j),(0.08338218210167425-0.014265651371814195j),(0.2607362008295293-0.0069795041173736395j),(0.5071960587613762+0.3139718425383593j),(1.241773760227058+17.778344628659166j),(0.003926978776705343-0.006134532776445008j),(0.017061106376012124-0.006750735703914207j),(0.016507283278948674-0.006690594500886141j),(0.016147250431576762-0.006698557887874664j),(0.011564346785802685-0.006932219437274945j),(0.0002470408166717778-0.0011642050218778207j),(-0.0001501940429608516-0.00014529096219048423j),(-0.0003922662789035387-0.00024532194175809886j),(-0.000774447421650497-0.0004620029724415908j),(-4.8712929769330155e-06+1.5745890165255442e-06j),(-4.342754792949351e-06+2.134960028722226e-06j),(-3.509150022769963e-05+1.923992998451305e-06j),(-1.120574957352875e-06+2.657999960653429e-06j),(4.858353901682862e-07+2.7616287041909855e-06j),(-7.880865092455815e-05+4.559026970299643e-05j),(0.0008883116703704593-0.002210458594485207j),(1.6714715859798534e-06-4.325910821736666e-06j),(-6.131020375666435e-05+2.3741297630364414e-05j),(-2.176690374879763e-07-2.7391466350252254e-07j),(1.1034487523817425e-09-5.720954468027563e-09j),(0.0065849676059295745-0.006674584139892128j),(0.07869754359641329-0.017858308434373426j),(0.0031377961782678232-0.006170975818915487j),(-4.61946770446242e-06+1.8526108073298064e-06j),(-4.136096508877605e-06+2.312655160660191e-06j),(-9.044537259101328e-07+2.6741956823939067e-06j),(7.612363312772393e-07+2.655044069422864e-06j),(0.2771511422622522+0.04039977306623416j),(-9.97590378847403e-11+1.6895267436504365e-12j),(-2.643754173845034e-07-5.395056207558366e-08j)
Bus 10,(-0.0002657456497643952-0.0002582754457811867j),(-0.0005745549453595963-0.0005419231304044237j),(7.01852769779855e-05-0.0051965110427352745j),(0.04559204725945253-0.019199378575385853j),(0.10021456982050737+0.010580560308770588j),(0.13253353338171228+0.02230969701914262j),(0.02603080606839199-0.018023522035253366j),(0.009507252165814554-0.015053621007695148j),(0.003926978776705342-0.006134532776445007j),(1.0176169406110462+0.8069196736072854j),(0.655041470032798+0.5054773135114862j),(0.6529165998441582+0.5040877510133841j),(0.6580391499602113+0.5088597247599412j),(0.3124867589372134+0.22091061455781663j),(0.03339376794330853-0.006857549416444524j),(0.0029933511049185695-0.004219647666770417j),(0.0006363819934925928-0.0025003790319609205j),(-0.0011246041503079553-0.0019582974278062664j),(-5.677291820503104e-05-0.00011331904760527378j),(-6.850792403019412e-05-9.828617433372957e-05j),(-0.0001784691407304787-0.0008515850424397596j),(-6.924426143155552e-05-1.747201954244442e-05j),(-6.576590459806214e-05+2.2229386266294598e-05j),(-0.0014107850221104152-0.0017579799149997739j),(-0.00018709830778763584-6.096588903386143e-05j),(-1.3794349247331207e-06-1.4182269733998257e-06j),(-0.00023342550964814478-0.00028199365224204604j),(-1.4494627366950092e-07+3.561346787665057e-08j),(-2.0213956777021537e-09-1.4464103642857654e-09j),(-0.0005860399583998553-0.0005055769603130934j),(0.1273906511037217+0.014465971302623103j),(1.0382713478333019+0.6675792505583908j),(-6.263405888277806e-05-0.0001061152475344237j),(-7.208289333816771e-05-9.256336442536367e-05j),(-6.88314526294705e-05-1.212228286491252e-05j),(-6.212636735739394e-05+2.8570172401539116e-05j),(-8.500151206582958e-05-7.829599932413034e-05j),(-1.7107381740927937e-11+3.897485240782101e-11j),(-6.798801527962131e-08+9.28855433920261e-08j)
