name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.49997436814715,129.5593196326609,247.49997436814715,129.5593196326609
Bus 2,18.0,18.0,0.0,0.0,0.0,163.19996869687517,108.48760923412223,163.19996869687517,108.48760923412223
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-491.69525483552945,76.80000725217315,-491.69525483552945,76.80000725217315
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,300000.0,68400.015625,300000.0,68400.015625
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,100000.0078125,22799.974609375,100000.0078125,22799.974609375
