Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 32,11.041775983012652,17886439.535732396,inf,Strong,7177.1544
BUS 39,57.79562734220437,10073903.078957004,inf,Strong,57795.6274
BUS 31,8.799104083768652,12891796.35442092,inf,Strong,6505.9116
BUS 33,11.8480526711265,1336615.9597017989,inf,Strong,7487.9693
BUS 26,14.895603000000001,14.883502813587778,14.895603000000001,Strong,4468.6809
BUS 29,11.413231144007666,11.391423701304353,11.413231144007666,Strong,2282.6464
BUS 34,11.038530118110236,1033166.559155112,inf,Strong,5607.5733
BUS 35,11.39159259785909,5390015.217916491,inf,Strong,7404.5352
BUS 30,33.92583252859334,60310.695827738986,inf,Strong,8481.4582
BUS 36,10.962294642857144,4003432.1239075693,inf,Strong,6138.885
