Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0126
Bus 02;1.0061
Bus 03;0.9970
Bus 04;0.9905
Bus 05;1.0000
Bus 06;1.0043
Bus 07;0.9911
Bus 08;0.9889
Bus 09;1.0072
Bus 10;1.0167
Bus 11;1.0110
Bus 12;0.9979
Bus 13;1.0117
Bus 14;1.0034
Bus 15;1.0065
Bus 16;1.0067
Bus 17;0.9946
Bus 18;0.9934
Bus 19;1.0393
Bus 20;0.9800
Bus 21;0.9964
Bus 22;1.0051
Bus 23;0.9979
Bus 24;1.0091
Bus 25;0.9915
Bus 26;0.9650
Bus 27;0.9724
Bus 28;0.9221
Bus 29;0.9106
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.9000
PV2 LV;0.9622
