Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.02100356784231286+0.2117763132456464j),(0.000192148047384285+0.0008200072931547267j),(-0.008292566321730335+0.018948939351810905j),(0.013878339010343736+0.07278425259265832j),(0.012098003681207455+0.030578819238514503j),(0.008814663018660601+0.041557870841150375j),(0.00017818683048626224+0.000835735218342794j),(-0.0019890736464975513+0.009588588331446029j),(-0.0077929005978536695+0.01932002374144826j),(6.61128217767505e-05-2.4413224090891752e-05j),(0.00985887088421391-0.0028060820235632474j)
Bus 2,(0.00019214804738428492+0.0008200072931547265j),(0.012486822557675172+0.19669044666912572j),(-0.009431202559546001+0.018488299608611945j),(0.00016678822899303297+0.0008433515216814998j),(0.010005482417563615+0.03187074116983294j),(-0.0027077553478410538+0.009565563608897916j),(0.008654147690455529+0.0747775202813377j),(0.00650868644157278+0.04207136897683796j),(-0.008952730925414557+0.01888966298464749j),(0.006001526844039223-0.0015893998576423016j),(0.00011416136264509362-3.333807767585071e-05j)
Bus 3,(-0.00829256632173033+0.0189489393518109j),(-0.009431202559545998+0.018488299608611942j),(-1.307568730746916+1.8200346351874157j),(-0.00913473180826897+0.01903458485938819j),(-0.005139256767042578+0.017770172126631564j),(-0.4613120566256432+0.9042499235263272j),(-0.009944173188419147+0.01856213459076122j),(-0.4437299105181566+0.8989498433203326j),(-1.2630262245695731+1.7827637096525075j),(0.0016325601374189674+0.0005925040658216517j),(0.0027350304417977866+0.0010249911495571545j)
Bus 4,(0.013878339010343736+0.0727842525926583j),(0.00016678822899303302+0.0008433515216815002j),(-0.009134731808268973+0.019034584859388193j),(0.011563481203054709+0.07474307538400883j),(0.011251542266647858+0.031625146777066335j),(0.007510854970524286+0.04270804416838199j),(0.00015198560844823005+0.0008588982634651715j),(-0.0023708271745847297+0.009710590241243112j),(-0.008638239876917175+0.019430942527622955j),(6.831290157697914e-05-2.2548067132155485e-05j),(0.01015721049071074-0.002511159368596489j)
Bus 5,(0.012098003681207448+0.0305788192385145j),(0.010005482417563615+0.03187074116983295j),(-0.005139256767042576+0.017770172126631557j),(0.011251542266647855+0.031625146777066335j),(0.5119056944185731+1.5367585048522308j),(0.006264294076120539+0.02219189346823475j),(0.009499398244511938+0.03253379168399683j),(0.0057624350225443+0.022360858280895273j),(-0.00465286940159636+0.018040833420586763j),(0.0025433993908668836-0.0011595616322547374j),(0.004219619187405749-0.001938729157956581j)
Bus 6,(0.0088146630186606+0.04155787084115036j),(-0.002707755347841053+0.009565563608897914j),(-0.46131205662564323+0.9042499235263272j),(0.007510854970524286+0.04270804416838198j),(0.00626429407612054+0.022191893468234757j),(0.317527165490438+2.075220542104059j),(-0.002941884522471483+0.00964806951577009j),(-0.1317083257374763+0.4503558252806085j),(-0.43791060025559114+0.9238814563408005j),(0.000822263156490206+0.00012620297356704042j),(0.005792715640928872-0.0015593696285755901j)
Bus 7,(0.0001781868304862622+0.000835735218342794j),(0.008654147690455529+0.07477752028133772j),(-0.009944173188419147+0.01856213459076122j),(0.00015198560844823005+0.0008588982634651713j),(0.00949939824451194+0.03253379168399683j),(-0.0029418845224714824+0.009648069515770089j),(0.0072533060034587985+0.07603086118627427j),(0.005744155599203934+0.042809973893512515j),(-0.009466999375627335+0.018979038420747957j),(0.00612037258768929-0.0014898560679739506j),(0.00011648538305177032-3.148925419642305e-05j)
Bus 8,(-0.001989073646497551+0.009588588331446025j),(0.00650868644157278+0.04207136897683796j),(-0.4437299105181566+0.8989498433203326j),(-0.0023708271745847293+0.009710590241243107j),(0.0057624350225442995+0.022360858280895277j),(-0.13170832573747632+0.4503558252806084j),(0.0057441555992039295+0.042809973893512515j),(0.34817370842292406+2.0411697003498896j),(-0.42036517847133514+0.918030029502132j),(0.003426536753432361-0.0009743852835968762j),(0.001367179250541247+0.00020745068992187015j)
Bus 9,(-0.0077929005978536695+0.019320023741448256j),(-0.008952730925414553+0.018889662984647483j),(-1.2630262245695731+1.7827637096525075j),(-0.008638239876917173+0.01943094252762295j),(-0.004652869401596362+0.018040833420586763j),(-0.43791060025559125+0.9238814563408004j),(-0.009466999375627335+0.018979038420747954j),(-0.42036517847133514+0.918030029502132j),(-1.2192759336660401+1.8318347679140026j),(0.0016609552620530303+0.0005486317533919395j),(0.002783549980625058+0.0009517103068539081j)
PV1 LV,(6.611282177675048e-05-2.4413224090891756e-05j),(0.006001526844039223-0.0015893998576423018j),(0.0016325601374189667+0.0005925040658216516j),(6.831290157697914e-05-2.2548067132155485e-05j),(0.0025433993908668836-0.0011595616322547374j),(0.0008222631564902057+0.00012620297356704034j),(0.00612037258768929-0.0014898560679739504j),(0.0034265367534323608-0.0009743852835968757j),(0.0016609552620530297+0.0005486317533919393j),(0.00633612231864495-0.001426656744404744j),(-3.9458206352076865e-06-9.136286535754147e-06j)
PV2 LV,(0.00985887088421391-0.002806082023563248j),(0.00011416136264509366-3.3338077675850715e-05j),(0.002735030441797787+0.0010249911495571543j),(0.010157210490710736-0.0025111593685964886j),(0.004219619187405749-0.0019387291579565813j),(0.005792715640928874-0.0015593696285755908j),(0.00011648538305177035-3.148925419642305e-05j),(0.0013671792505412473+0.00020745068992187004j),(0.002783549980625058+0.0009517103068539079j),(-3.945820635207687e-06-9.136286535754149e-06j),(0.01055283001370637-0.002351098087153437j)
