Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 32,11.056503846153847,18097491.856680114,inf,Strong,7186.7275
BUS 39,57.809243099999996,10106675.352850992,inf,Strong,57809.2431
BUS 31,9.47148399080099,13005462.926335024,inf,Strong,6514.108
BUS 33,11.866876265822784,1348191.6452689476,inf,Strong,7499.8658
BUS 26,15.117831666666667,15.102565364750289,15.117831666666667,Strong,4535.3495
BUS 29,9.397259436164434,9.382819807375265,9.397259436164434,Strong,2349.315
BUS 34,11.0523781496063,1040930.4024319815,inf,Strong,5614.6081
BUS 35,11.410527538461539,5440028.54533177,inf,Strong,7416.8429
BUS 30,34.029336263882655,60919.37855827049,inf,Strong,8507.3341
BUS 36,10.976840357142857,4038597.834933045,inf,Strong,6147.0306
