Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,30.996093750000004,0.5870310599965446,0.7377726605900675,0.570682090971996,0.7299381039924886
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,27.552083333333336,0.5461855359167188,0.6574451086903371,0.5333919102227533,0.651441199319228
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999399152124846,16481.692241982742,0.9999399152124789,16481.6922403909
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9605241660813348,21.085662195723348,0.9605241660813395,21.08566219573856
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9808060992663984,47.0625943630515,0.9808060992641763,47.0625943575525
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.992239323456236,119.29714336494574,0.9922393234553526,119.29714335245825
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9539709353090859,19.53280181517782,0.9539709353089727,19.532801815236706
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9644389790048249,26.325782394460784,0.9644389790053491,26.325782394899885
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9566103429814193,21.7987704981645,0.9566103594064774,21.798778641772397
