Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0243
Bus 02;1.0343
Bus 03;1.0231
Bus 04;1.0036
Bus 05;1.0063
Bus 06;1.0098
Bus 07;0.9964
Bus 08;0.9942
Bus 09;1.0089
Bus 10;1.0236
Bus 11;1.0177
Bus 12;1.0057
Bus 13;1.0200
Bus 14;1.0157
Bus 15;1.0247
Bus 16;1.0263
Bus 17;1.0281
Bus 18;1.0246
Bus 19;1.0465
Bus 20;0.9839
Bus 21;1.0102
Bus 22;1.0125
Bus 23;1.0056
Bus 24;1.0269
Bus 25;1.0269
Bus 26;1.0633
Bus 27;1.0411
Bus 28;1.0829
Bus 29;1.0881
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.0902
PV2 LV;1.0666
