Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,34.44010416666667,0.6266748101776263,0.8197474006555588,0.6072039401125146,0.8099263210805643
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,24.108072916666668,0.4959337455884416,0.5752644310234719,0.48526125084337673,0.5703567757707401
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999399237660646,16482.85951394849,0.9999399237660592,16482.859512460156
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9605788694668281,21.100955876228618,0.9605788694668321,21.10095587624284
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9808146793042853,47.070768608242595,0.9808146793022017,47.07076860308192
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9922412940887292,119.29870360001244,0.9922412940879006,119.298703588295
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9540116089093308,19.54202393504785,0.9540116089092227,19.54202393510276
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9644503459728508,26.330078818370076,0.9644503459733426,26.33007881878211
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9567053432350433,21.824310550316252,0.9567053586666612,21.824318214772276
