Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0241
Bus 02;1.0336
Bus 03;1.0220
Bus 04;1.0024
Bus 05;1.0050
Bus 06;1.0085
Bus 07;0.9952
Bus 08;0.9929
Bus 09;1.0083
Bus 10;1.0227
Bus 11;1.0167
Bus 12;1.0046
Bus 13;1.0190
Bus 14;1.0146
Bus 15;1.0237
Bus 16;1.0253
Bus 17;1.0267
Bus 18;1.0233
Bus 19;1.0461
Bus 20;0.9837
Bus 21;1.0095
Bus 22;1.0121
Bus 23;1.0052
Bus 24;1.0260
Bus 25;1.0247
Bus 26;1.0606
Bus 27;1.0388
Bus 28;1.0887
Bus 29;1.0961
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.0994
PV2 LV;1.0623
