Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,18.889260581400563,21220768.680507552,inf,Strong,6569.8435
BUS 34,11.146544291338582,1621716.5010041622,inf,Strong,5662.4445
BUS 36,11.075752321428572,6220763.118661805,inf,Strong,6202.4213
BUS 30,34.73316066106736,95419.33206091849,inf,Strong,8683.2902
BUS 39,57.90182944209817,17972475.531930927,inf,Strong,57901.8295
BUS 32,11.156653538461539,26218516.09887023,inf,Strong,7251.8248
BUS 26,27.71497657930751,27.572688255732054,27.71497657930751,Strong,4988.6962
BUS 33,11.994876265822786,2087573.2865231237,inf,Strong,7580.7618
BUS 35,11.539285076923075,8380773.180610154,inf,Strong,7500.5353
BUS 29,4.064650214163855,4.063469904866836,4.064650214163855,Strong,2885.9019
