Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,10.332031249999998,0.23749841608622382,0.2459242201950979,0.237497908623975,0.24692213478247732
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,44.772135416666664,0.7254995720737877,1.068343726800931,0.7074726941381392,1.0829783144256528
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999403948618184,16547.24273804505,0.9999403948618132,16547.242736378885
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9622345967528152,21.586230569562783,0.962234596752847,21.586230569602126
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9813068040852243,47.553442775383644,0.9813068040813074,47.553442767029
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923610145766896,119.49117218655805,0.9923610145752756,119.49117216973282
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.956289954099538,20.078708337463926,0.9562899540997423,20.07870833775498
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9650437703734659,26.556783464404894,0.9650437703744776,26.55678346518568
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9687609347222577,25.936578697504768,0.9687609547594616,25.936592210513822
