Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,10.332031249999998,0.23749841608614242,0.24592422019500468,0.23749790646436886,0.2469221308686062
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,30.996093750000004,0.5910757942680053,0.7396224200333502,0.5820537485139959,0.7472298450631851
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999404389047928,16553.315434852186,0.9999404389047895,16553.315433726646
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9623658256018559,21.6220714937614,0.9623658256018781,21.6220714937901
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9813368038584872,47.583469039638665,0.9813368038556693,47.58346903361514
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923688285759297,119.510088543388,0.9923688285749115,119.51008853125954
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9564289365459208,20.11276744793436,0.9564289365460611,20.112767448142908
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9650817945876997,26.57153493645967,0.9650817945884274,26.57153493702236
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9697261459832962,26.366582000216283,0.9697261598374276,26.366591822994486
