Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 34,11.165931299212598,1162210.5214715549,inf,Strong,5672.2931
BUS 33,12.0212292721519,1496050.081553246,inf,Strong,7597.4169
BUS 39,57.92089134207911,13046170.129180895,inf,Strong,57920.8914
BUS 32,11.177272615384616,18586764.057465874,inf,Strong,7265.2272
BUS 26,20.32812798031232,20.252781740975234,20.32812798031232,Strong,5082.0323
BUS 36,11.09611642857143,4455717.350784639,inf,Strong,6213.8252
BUS 35,11.565794,6004668.79701787,inf,Strong,7517.7661
BUS 30,34.87806572097547,68524.20175750757,inf,Strong,8719.5165
BUS 31,23.592311458076445,15304619.4924371,inf,Strong,6581.3184
BUS 29,4.127719645364932,4.12604506272699,4.127719645364932,Strong,2930.6812
