name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.011049,-3.227898
Bus 02,345.000000,1.003115,-0.444990
Bus 03,345.000000,0.994069,-1.469360
Bus 04,345.000000,0.988459,-2.841276
Bus 05,345.000000,0.998554,-3.110321
Bus 06,345.000000,1.002922,-2.672736
Bus 07,345.000000,0.989881,-4.801226
Bus 08,345.000000,0.987741,-5.262623
Bus 09,345.000000,1.006817,-5.062110
Bus 10,345.000000,1.015330,1.067094
Bus 11,345.000000,1.009545,-0.178273
Bus 12,138.000000,0.996349,0.255913
Bus 13,345.000000,1.010114,0.796069
Bus 14,345.000000,1.001438,0.265093
Bus 15,345.000000,1.004309,4.268126
Bus 16,345.000000,1.004928,6.008989
Bus 17,345.000000,0.991922,3.244553
Bus 18,345.000000,0.990514,0.980143
Bus 19,345.000000,1.038643,11.294297
Bus 20,230.000000,0.979612,10.282404
Bus 21,345.000000,0.995136,8.605006
Bus 22,345.000000,1.004376,13.459965
Bus 23,345.000000,0.997244,13.251222
Bus 24,345.000000,1.007425,6.142389
Bus 25,345.000000,0.990372,0.074313
Bus 26,345.000000,0.959648,4.512205
Bus 27,345.000000,0.968032,2.573098
Bus 28,345.000000,0.920286,6.781672
Bus 29,345.000000,0.909692,9.691259
Bus 30,16.500000,1.000000,2.205152
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,8.941366
Bus 33,16.500000,1.000000,16.514590
Bus 34,16.500000,1.000000,15.601549
Bus 35,16.500000,1.000000,18.903149
Bus 36,16.500000,1.000000,22.024607
Bus 39,345.000000,1.000000,-4.862806
PV1 LV,0.480000,0.899667,12.217213
PV2 LV,0.480000,0.954573,5.779913
