Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.01723273303251+0.21243728725235653j),(0.0001784423166588372+0.0008182870344219675j),(-0.009518930624036918+0.018163197510699145j),(0.010041341815460153+0.07373405156660721j),(0.010515940582726424+0.0313032324377878j),(0.006514275841055421+0.04198351641210561j),(0.00016431883051651634+0.0008337105909774843j),(-0.002606001353241117+0.009341445589384283j),(-0.009034938205102615+0.01857313847242023j),(0.00010102642953831338-3.094557605701082e-05j),(0.005899973084192425-0.0016903079241348505j)
Bus 2,(0.00017844231665883724+0.0008182870344219677j),(0.015321898153555277+0.19583352218755423j),(-0.008868720150115715+0.01834822342772742j),(0.0001532124159706613+0.00084268715802416j),(0.011180126906125755+0.031284469270345505j),(-0.0024605244618489596+0.009459958965320205j),(0.011547529634340366+0.07396609162938757j),(0.007998916499907336+0.041393625201351564j),(-0.008374753392248455+0.018739786993186285j),(0.009001589150335403-0.002370604886777092j),(6.697518265349137e-05-2.245677775476019e-05j)
Bus 3,(-0.00951893062403692+0.018163197510699145j),(-0.008868720150115717+0.01834822342772743j),(-1.3222996288251037+1.7736490997501224j),(-0.010376130621507993+0.018224376332402818j),(-0.005504342133650634+0.01741944884149598j),(-0.47157073965724494+0.8843668124396051j),(-0.009370733478203023+0.018431515954024345j),(-0.45326466236797136+0.8796311411942003j),(-1.277688893688031+1.7376360504559005j),(0.0023991352617925487+0.0009242307528107453j),(0.0016100913397060067+0.0006317510046481969j)
Bus 4,(0.010041341815460155+0.0737340515666072j),(0.00015321241597066127+0.0008426871580241602j),(-0.01037613062150799+0.01822437633240281j),(0.007634820254088642+0.07571750807748995j),(0.009632126354695628+0.032368150959251156j),(0.005161590989847175+0.043141278008982896j),(0.00013822785673694597+0.0008579473863855097j),(-0.0029963859207421005+0.009454513670832295j),(-0.00989607823320083+0.018660604674592435j),(0.00010435662025837935-2.8027213978731314e-05j),(0.00609029004324047-0.0015172969807628416j)
Bus 5,(0.010515940582726424+0.0313032324377878j),(0.011180126906125756+0.03128446927034552j),(-0.005504342133650636+0.017419448841495985j),(0.009632126354695627+0.032368150959251156j),(0.5117405638269129+1.5368668672819257j),(0.005387897587273963+0.022506596289j),(0.01070291756045892+0.03196304021672346j),(0.006075425854032565+0.02189343012573734j),(-0.005015698315962986+0.017703189568929717j),(0.0038170845138916464-0.001731024399988204j),(0.002528311648999439-0.0011684396147798877j)
Bus 6,(0.0065142758410554205+0.041983516412105605j),(-0.002460524461848958+0.009459958965320205j),(-0.47157073965724494+0.8843668124396049j),(0.005161590989847173+0.0431412780089829j),(0.005387897587273963+0.022506596288999994j),(0.31059520949167974+2.067441260269493j),(-0.0026889391769921163+0.009545987675399097j),(-0.1375277516076393+0.4423428117868965j),(-0.4480597670831823+0.9045711584826814j),(0.0012149788408065436+0.00021097457652094042j),(0.0034604586374688525-0.0009307455987077584j)
Bus 7,(0.00016431883051651637+0.0008337105909774843j),(0.011547529634340366+0.07396609162938757j),(-0.009370733478203021+0.018431515954024334j),(0.00013822785673694597+0.0008579473863855094j),(0.010702917560458918+0.03196304021672345j),(-0.0026889391769921167+0.009545987675399097j),(0.01020490579183536+0.07526677295339129j),(0.007269670943398429+0.04215287130084914j),(-0.008877641495757834+0.0188387949566863j),(0.009179572373790487-0.0022211091784798396j),(6.839774354989875e-05-2.1413861628297512e-05j)
Bus 8,(-0.0026060013532411153+0.009341445589384283j),(0.007998916499907334+0.04139362520135158j),(-0.45326466236797125+0.8796311411942j),(-0.0029963859207421+0.009454513670832299j),(0.006075425854032565+0.02189343012573734j),(-0.1375277516076393+0.4423428117868965j),(0.007269670943398427+0.042152871300849146j),(0.34325668056476755+2.0330031830301283j),(-0.42977305610456873+0.8992509535019968j),(0.0051211812869367745-0.0014361905404792906j),(0.0008071077269453577+0.0001329372422304133j)
Bus 9,(-0.009034938205102611+0.018573138472420224j),(-0.008374753392248455+0.018739786993186285j),(-1.2776888936880308+1.7376360504559j),(-0.009896078233200828+0.018660604674592435j),(-0.005015698315962981+0.01770318956892971j),(-0.4480597670831821+0.9045711584826813j),(-0.008877641495757833+0.0188387949566863j),(-0.4297730561045686+0.8992509535019967j),(-1.2338640503524727+1.7879330473413924j),(0.0024432287896146467+0.0008580526216394204j),(0.0016400298371380705+0.000587415536327428j)
PV1 LV,(0.0001010264295383134-3.094557605701082e-05j),(0.009001589150335405-0.002370604886777092j),(0.0023991352617925483+0.0009242307528107452j),(0.00010435662025837933-2.8027213978731308e-05j),(0.003817084513891646-0.001731024399988204j),(0.0012149788408065433+0.00021097457652094058j),(0.009179572373790487-0.0022211091784798396j),(0.0051211812869367745-0.0014361905404792906j),(0.0024432287896146462+0.0008580526216394205j),(0.00950335328339394-0.002126291934913386j),(-3.5200098670624683e-06-8.187156927429908e-06j)
PV2 LV,(0.005899973084192427-0.0016903079241348503j),(6.697518265349136e-05-2.2456777754760185e-05j),(0.0016100913397060067+0.000631751004648197j),(0.006090290043240472-0.0015172969807628416j),(0.002528311648999439-0.0011684396147798879j),(0.0034604586374688525-0.0009307455987077585j),(6.839774354989875e-05-2.1413861628297515e-05j),(0.0008071077269453577+0.00013293724223041332j),(0.0016400298371380705+0.0005874155363274281j),(-3.520009867062469e-06-8.18715692742991e-06j),(0.00633423768024838-0.0014238772213459713j)
