name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,314.1734921590035,0.4320060403535196
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,332.91120570760063,0.46186147987275283
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,347.1158192969343,16.500000002155886
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,346.47346073660236,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,350.7682327371508,16.500000000373774
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.7966526993835,137.71119900724588
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,349.02474225632864,137.71119900724588
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,358.55841752653845,225.39316693692365
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,358.55841752653845,16.500000000158234
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,225.39316693692365,16.50000000020618
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,346.7427381222151,16.500000000040536
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,344.2902881093311,16.500000000026542
