name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,343.9795813014321
Load 04,500.0,184.0,532.7813810560575,Bus 04,341.73657722684266
Load 07,233.8000030517578,84.0,248.43196538892084,Bus 07,341.93964592638196
Load 08,522.0,176.0,550.8720359575352,Bus 08,341.1875571308754
Load 12,7.5,88.0,88.31902399823042,Bus 12,137.71119900724588
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.822883943797,Bus 18,342.72862315895156
Load 20,628.0,103.0,636.3906033247191,Bus 20,225.39316693692365
Load 21,274.0,115.0,297.1548417912789,Bus 21,343.7562417650164
Load 23,247.5,84.5999984741211,261.559572070726,Bus 23,344.2902881093311
Load 24,308.6000061035156,-92.19999694824219,322.0788773023555,Bus 24,348.122921827711
Load 25,224.0,47.20000076293945,228.91885040778425,Bus 25,342.0509953405912
Load 26,139.0,17.0,140.03570973148243,Bus 26,332.91120570760063
Load 27,281.0,75.5,290.96606331323244,Bus 27,335.4611034741926
Load 28,206.0,27.600000381469727,207.8407082865556,Bus 28,318.118622384247
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,314.1734921590035
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.9522958146247,Bus 39,345.00000003911646
