Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,4340;6234,9119
Bus 02;14,7856;8835,2312
Bus 03;13,5816;8115,7650
Bus 04;13,3984;8006,2890
Bus 05;14,0704;8407,8899
Bus 06;14,6558;8757,6709
Bus 07;11,3555;6785,5403
Bus 08;11,7463;7019,0886
Bus 09;10,1700;6077,1888
Bus 10;13,7329;8206,2065
Bus 11;13,2476;7916,2191
Bus 12;14,0946;3368,9358
Bus 13;12,7224;7602,3906
Bus 14;13,0566;7802,0750
Bus 15;12,3186;7361,0669
Bus 16;17,0468;10186,4628
Bus 17;13,9967;8363,8044
Bus 18;12,1130;7238,2372
Bus 19;13,7528;8218,0846
Bus 20;14,8367;5910,5190
Bus 21;11,7050;6994,3826
Bus 22;13,1690;7869,2101
Bus 23;11,9772;7157,0482
Bus 24;12,7478;7617,5267
Bus 25;10,4021;6215,8321
Bus 26;8,7635;5236,7035
Bus 27;9,2646;5536,1408
Bus 28;4,9680;2968,6894
Bus 29;5,0124;2995,1755
Bus 30;307,2045;8779,5486
Bus 31;230,9518;6600,3340
Bus 32;254,9942;7287,4368
Bus 33;266,8064;7625,0167
Bus 34;199,0499;5688,6138
Bus 35;264,0527;7546,3200
Bus 36;218,0888;6232,7232
Bus 39;96,9823;57952,4797
PV1 LV;3318,4792;2758,9318
PV2 LV;5277,0535;4387,2598
