name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.024064,-17.718307
Bus 02,345.000000,1.033596,-17.259055
Bus 03,345.000000,1.021971,-16.959753
Bus 04,345.000000,1.002356,-14.835853
Bus 05,345.000000,1.005016,-12.828447
Bus 06,345.000000,1.008524,-11.909229
Bus 07,345.000000,0.995161,-14.414267
Bus 08,345.000000,0.992927,-15.073799
Bus 09,345.000000,1.008322,-16.835604
Bus 10,345.000000,1.022721,-9.592265
Bus 11,345.000000,1.016707,-10.379865
Bus 12,138.000000,1.004636,-10.394530
Bus 13,345.000000,1.019035,-10.304750
Bus 14,345.000000,1.014619,-11.980133
Bus 15,345.000000,1.023717,-10.847892
Bus 16,345.000000,1.025313,-10.351093
Bus 17,345.000000,1.026661,-14.135000
Bus 18,345.000000,1.023267,-15.644441
Bus 19,345.000000,1.046144,-5.148183
Bus 20,230.000000,0.983704,-6.139343
Bus 21,345.000000,1.009518,-7.821719
Bus 22,345.000000,1.012091,-3.050680
Bus 23,345.000000,1.005232,-3.256724
Bus 24,345.000000,1.026014,-10.217898
Bus 25,345.000000,1.024717,-18.825007
Bus 26,345.000000,1.060639,-19.498074
Bus 27,345.000000,1.038842,-18.229543
Bus 28,345.000000,1.088686,-22.378803
Bus 29,345.000000,1.096100,-21.751580
Bus 30,16.500000,1.000000,-14.687119
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-1.775252
Bus 33,16.500000,1.000000,0.054905
Bus 34,16.500000,1.000000,-0.830422
Bus 35,16.500000,1.000000,2.350888
Bus 36,16.500000,1.000000,5.454938
Bus 39,345.000000,1.000000,-17.978279
PV1 LV,0.480000,1.099399,-20.971847
PV2 LV,0.480000,1.062277,-19.103966
