Escenario,Bus_LV,S_sc_HV_GSIM,SCR_HV_GSIM,GSIM_hv,Bus_HV,SCR_NRSCR,NRSCR,SCR_SDSCR,SDSCR_coupled,SDSCR_no_coupling,Z_device_LSCR,K_vtg_normal_LSCR,λSCR_normal_LSCR,SCR_scr
Escenario_1,PV1 LV,2121.5561,14.143707333333332,14.57554131145903,Bus 7,14.14,14.14,14.143707333333332,14.047892434665677,14.143707333333332,51.66015625,0.753732585083479,1.2786238516680768,12.070352666666668
Escenario_1,PV2 LV,2124.8433,23.6093679505757,24.18602204311477,Bus 4,23.61,23.61,23.60936790138952,23.163597811540853,23.60936790138952,89.54427083333333,0.8650738672599815,2.238076634716837,20.210921111111112
Escenario_2,PV1 LV,2152.9406,14.391314171122994,14.829536166600212,Bus 7,14.39,14.39,14.391313593931272,14.266869944370502,14.391313593931272,51.66015625,0.7537309476408138,1.2788287947237087,12.102626336898396
Escenario_2,PV2 LV,2158.8554,18.630093669765216,19.069505304787835,Bus 4,18.63,18.63,18.630094121932423,18.359073538255164,18.630094121932423,68.88020833333334,0.8216784070950881,1.7199059308735487,15.697125474628926
Escenario_3,PV1 LV,2170.8882,14.472588,14.914463323246054,Bus 7,14.47,14.47,14.472588,14.333637951790708,14.472588,51.66015625,0.7538220737186374,1.2788762138732133,12.070352666666668
Escenario_3,PV2 LV,2178.1782,16.755216923076922,17.19856756692885,Bus 4,16.76,16.76,16.755216923076922,16.538161804537378,16.755216923076922,61.99218750000001,0.8002171605112043,1.5479920042568371,13.992176153846154
Escenario_4,PV1 LV,2128.8857,21.288855336808176,21.72216026059924,Bus 7,21.29,21.29,21.288855296891576,20.93010515495272,21.288855296891576,79.21223958333334,0.8470912313680194,1.9714138286773908,18.105529
Escenario_4,PV2 LV,2142.8934,14.285956,14.722133097377396,Bus 4,14.29,14.29,14.285956,14.178109379611492,14.285956,51.66015625,0.7530007917003303,1.2832376138182149,12.126552666666669
Escenario_5,PV1 LV,2146.9032,18.948836716681377,19.38581451543975,Bus 7,18.95,18.95,18.94883621494697,18.66832527181362,18.94883621494697,68.88020833333334,0.8214006469616353,1.711408627366155,15.980166813768754
Escenario_5,PV2 LV,2159.6794,14.375818247872196,14.815412163057642,Bus 4,14.38,14.38,14.375818690447945,14.253452409791633,14.375818690447945,51.66015625,0.7535548569240825,1.2850992924795408,12.107987086467418
Escenario_6,PV1 LV,2168.8868,16.68374461538462,17.125204069538526,Bus 7,16.68,16.68,16.68374461538462,16.470589114439097,16.68374461538462,61.99218750000001,0.8000826589248496,1.5375062301091398,13.92733
Escenario_6,PV2 LV,2180.0647,14.533764666666666,14.97750782857146,Bus 4,14.53,14.53,14.533764666666666,14.39224781734196,14.533764666666666,51.66015625,0.7541816234700602,1.2875380944306898,12.126552666666669
