Escenario,Bus_LV,SCR_scr,GSIM_hv,NRSCR,SDSCR_coupled,λSCR_normal_LSCR,K_vtg_normal_LSCR,SCR_scr_minmax,GSIM_hv_minmax,NRSCR_minmax,SDSCR_coupled_minmax,λSCR_normal_LSCR_minmax,K_vtg_normal_LSCR_minmax,SCR_scr_zscore,GSIM_hv_zscore,NRSCR_zscore,SDSCR_coupled_zscore,λSCR_normal_LSCR_zscore,K_vtg_normal_LSCR_zscore,SCR_scr_eng,GSIM_hv_eng,NRSCR_eng,SDSCR_coupled_eng,λSCR_normal_LSCR_eng,K_vtg_normal_LSCR_eng,SCR_scr_scr,GSIM_hv_scr,NRSCR_scr,SDSCR_coupled_scr,λSCR_normal_LSCR_scr,K_vtg_normal_LSCR_scr
Escenario_1,PV1 LV,12.070352666666668,14.57554131145903,14.14,14.047892434665677,1.2786238516680768,0.753732585083479,0.0,0.0,0.0,0.0,0.0,0.0065296091812806645,-0.7771974846820905,-0.8520706823530022,-0.854391253113991,-0.8468250749489072,-0.7979992901804468,-0.867527503148115,4.023450888888889,24.292568852431717,4.713333333333334,4.682630811555225,0.4262079505560256,1.2562209751391316,4.023450888888889,6.037744593706305,1.1714653573502327,1.1638344647095653,0.10593094393994869,0.31222475676496897
Escenario_1,PV2 LV,20.210921111111112,24.18602204311477,23.61,23.163597811540853,2.238076634716837,0.8650738672599815,1.0,1.0,1.0,1.0,1.0,1.0,2.180020166097033,2.1607941336186447,2.1386118912717693,2.138698486229001,2.189854121498398,1.8107632304329677,6.736973703703704,40.31003673852462,7.87,7.721199270513618,0.7460255449056122,1.4417897787666358,6.736973703703704,5.983404197698421,1.168180305598255,1.1460931287692022,0.11073600368893809,0.21401148975451703
Escenario_2,PV1 LV,12.102626336898396,14.829536166600212,14.39,14.266869944370502,1.2788287947237087,0.7537309476408138,0.003964547494684251,0.02642894379929962,0.026399155227032737,0.02402200385505321,0.00021360410772969287,0.006514998690251051,-0.7654734548534581,-0.7724438474568004,-0.7753784985103543,-0.7751068164529393,-0.7973610724184179,-0.8675668914812745,4.034208778966132,24.715893611000354,4.796666666666667,4.755623314790167,0.4262762649079029,1.2562182460680231,4.034208778966132,6.1265777170150395,1.1889981231699995,1.1788242937711606,0.10566539518987089,0.31139148093122754
Escenario_2,PV2 LV,15.697125474628926,19.069505304787835,18.63,18.359073538255164,1.7199059308735487,0.8216784070950881,0.44551837291379326,0.4676107386102175,0.4741288278775078,0.47293993447025384,0.4599310012976904,0.6127931713465289,0.5402973114449746,0.5567772595762366,0.5646778195673248,0.5651482424339715,0.5762071211837245,0.7668947158340833,5.232375158209642,31.78250884131306,6.21,6.119691179418388,0.5733019769578496,1.3694640118251469,5.232375158209642,6.074202992009475,1.1868415035677355,1.1695818809583138,0.10956820939307721,0.26172894152600007
Escenario_3,PV1 LV,12.070352666666668,14.914463323246054,14.47,14.333637951790708,1.2788762138732133,0.7538220737186374,0.0,0.035265874959892037,0.03484688489968322,0.03134650642065655,0.000263027227181063,0.007328093872733803,-0.7771974846820905,-0.745819368481888,-0.7500944170371905,-0.7532393414694225,-0.7972134033823494,-0.865374873165592,4.023450888888889,24.857438872076756,4.823333333333333,4.77787931726357,0.4262920712910711,1.2563701228643958,4.023450888888889,6.178139005181533,1.1988050721964543,1.187507800942246,0.10595185154821049,0.3122618263675025
Escenario_3,PV2 LV,13.992176153846154,17.19856756692885,16.76,16.538161804537378,1.5479920042568371,0.8002171605112043,0.23607976522708807,0.2729339279386821,0.2766631467793032,0.2731844949913634,0.280751859130384,0.42129984008284804,-0.07905823596075412,-0.029757653781606143,-0.026337584867877427,-0.031226328603703606,0.04084610995744941,0.25064901852303534,4.664058717948718,28.664279278214753,5.586666666666667,5.512720601512459,0.515997334752279,1.333695267518674,4.664058717948718,6.145780105191617,1.19781224991175,1.1819578043256256,0.11063268409691417,0.28595164601727857
Escenario_4,PV1 LV,18.105529,21.72216026059924,21.29,20.93010515495272,1.9714138286773908,0.8470912313680194,0.7413703815059816,0.7436276237046212,0.7550158394931361,0.7549841110207355,0.7220678174572619,0.839545441202863,1.4151960932722507,1.3883788212912545,1.40537352855002,1.407197776818456,1.3594335016727304,1.378194769451397,6.035176333333333,36.20360043433207,7.096666666666667,6.976701718317574,0.6571379428924636,1.411818718946699,6.035176333333333,5.998764316855707,1.1758838971233594,1.1560062760360508,0.10888463014128949,0.23393164357915736
Escenario_4,PV2 LV,12.126552666666669,14.722133097377396,14.29,14.178109379611492,1.2832376138182149,0.7530007917003303,0.006903694795214741,0.015253324990862377,0.015839493136219494,0.014284900571287727,0.004808743308323506,0.0,-0.7567817565780894,-0.8061144761614519,-0.8069836003518095,-0.804177167724244,-0.7836314700807846,-0.8851306364933554,4.042184222222223,24.536888495628993,4.763333333333333,4.726036459870497,0.4277458712727383,1.2550013195005505,4.042184222222223,6.0702054005197335,1.1784058002964182,1.1691788894451527,0.10582047916598458,0.3104760323888958
Escenario_5,PV1 LV,15.980166813768754,19.38581451543975,18.95,18.66832527181362,1.711408627366155,0.8214006469616353,0.480287608142445,0.5005236822478892,0.5079197465681098,0.5068650911940518,0.45107459516961335,0.610314787202382,0.6431175075672347,0.6559395094522358,0.66581414545998,0.6664325971495235,0.5497454779187361,0.7602132552199902,5.326722271256251,32.30969085906625,6.316666666666666,6.22277509060454,0.5704695424553851,1.3690010782693922,5.326722271256251,6.065585779347634,1.185844942724402,1.1682184228345294,0.10709579238506944,0.2570062805145138
Escenario_5,PV2 LV,12.107987086467418,14.815412163057642,14.38,14.253452409791633,1.2850992924795408,0.7535548569240825,0.0046230702508782626,0.02495929790572357,0.02534318901795145,0.022550089831492676,0.0067490979502791435,0.004943785302450532,-0.7635260597354014,-0.7768716918614929,-0.7785390086944997,-0.7795012504503075,-0.7778339748439506,-0.8718027160170785,4.035995695489139,24.69235360509607,4.793333333333334,4.751150803263878,0.4283664308265136,1.2559247615401377,4.035995695489139,6.11803269084099,1.187645799199102,1.1771942196504415,0.1061364934817152,0.31118089718079517
Escenario_6,PV1 LV,13.92733,17.125204069538526,16.68,16.470589114439097,1.5375062301091398,0.8000826589248496,0.2281139635403018,0.2653002309948159,0.26821541710665253,0.26577171810744826,0.26982294805424145,0.42009971609514635,-0.1026148453115246,-0.05275695071957077,-0.051621666341041775,-0.053357348644387105,0.008192125712662278,0.2474136116250392,4.6424433333333335,28.54200678256421,5.56,5.490196371479699,0.5125020767030466,1.3334710982080829,4.6424433333333335,6.1480571184636705,1.1976452055060085,1.1826092376958897,0.11039490197397059,0.28723476033268747
Escenario_6,PV2 LV,12.126552666666669,14.97750782857146,14.53,14.39224781734196,1.2875380944306898,0.7541816234700602,0.006903694795214741,0.041825849126194165,0.041182682154170945,0.037776054451019045,0.009290965558812665,0.010536266305116603,-0.7567817565780894,-0.7260550531225534,-0.731131355932318,-0.7340437743370503,-0.7702392470377577,-0.8567259807810891,4.042184222222223,24.9625130476191,4.843333333333333,4.797415939113987,0.42917936481022995,1.2569693724501005,4.042184222222223,6.175501084385452,1.1981970803573796,1.1868375302490715,0.10617511256681053,0.3109629109776377
