Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0249
Bus 02;1.0363
Bus 03;1.0254
Bus 04;1.0056
Bus 05;1.0081
Bus 06;1.0115
Bus 07;0.9981
Bus 08;0.9958
Bus 09;1.0097
Bus 10;1.0250
Bus 11;1.0192
Bus 12;1.0072
Bus 13;1.0215
Bus 14;1.0174
Bus 15;1.0266
Bus 16;1.0283
Bus 17;1.0314
Bus 18;1.0275
Bus 19;1.0472
Bus 20;0.9843
Bus 21;1.0116
Bus 22;1.0132
Bus 23;1.0064
Bus 24;1.0287
Bus 25;1.0313
Bus 26;1.0709
Bus 27;1.0469
Bus 28;1.0950
Bus 29;1.1013
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.1039
PV2 LV;1.0742
