Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.01707868697651712+0.21156053487256973j),(0.00016310207043513086+0.0008143236728038836j),(-0.009733690805850959+0.01754479991913133j),(0.009963350426186422+0.07342959186801652j),(0.010450320699931724+0.031177803261892897j),(0.006321449832875495+0.0415885338839882j),(0.00014883853732419755+0.0008293772159291363j),(-0.002752378737350825+0.009084326642606987j),(-0.00924930331949609+0.01796842808081727j),(8.834670342945372e-05-2.6816904725113127e-05j),(0.0058667312078034654-0.0016784754326829156j)
Bus 2,(0.00016310207043513086+0.0008143236728038837j),(0.014319303855363046+0.1961287560601237j),(-0.00939370865323515+0.01772021475037404j),(0.0001381355677200203+0.000840388049960431j),(0.010755369609377417+0.03148890938617541j),(-0.0027472276053380406+0.00921866733929819j),(0.010524475207253749+0.07424512394603887j),(0.007280002648614267+0.04135701080507047j),(-0.008901526122699671+0.01813436734160847j),(0.007944566842803277-0.002095993672247681j),(6.68591815704068e-05-2.1174480847316585e-05j)
Bus 3,(-0.009733690805850962+0.01754479991913133j),(-0.009393708653235156+0.01772021475037404j),(-1.3391677963035526+1.711882535688739j),(-0.0106010582360329+0.017634209871263382j),(-0.005926861618645955+0.016946960515091786j),(-0.48332898573000227+0.8578359411165655j),(-0.00989047043874937+0.01778375418625343j),(-0.46536907273011546+0.8535870706526063j),(-1.2945340380872083+1.6775272565791954j),(0.002061872803161182+0.0008485539940291351j),(0.001562233278959902+0.0006558670356996861j)
Bus 4,(0.009963350426186422+0.07342959186801652j),(0.00013813556772002022+0.0008403880499604306j),(-0.010601058236032898+0.017634209871263386j),(0.007594081177765867+0.07561080547122019j),(0.009599025278809627+0.03232561459139033j),(0.00499643287674545+0.04284809534867937j),(0.00012298080367599578+0.0008553076034613493j),(-0.003144595005420884+0.009212148984880458j),(-0.0101197227413726+0.01808563690490313j),(9.149955459035058e-05-2.4335116571671105e-05j),(0.006072451953897683-0.0015111257312390156j)
Bus 5,(0.010450320699931726+0.0311778032618929j),(0.010755369609377416+0.031488909386175414j),(-0.005926861618645953+0.016946960515091782j),(0.009599025278809632+0.032325614591390335j),(0.511551594474714+1.536972589297351j),(0.00514886734491384+0.022309209557821518j),(0.010267873180274473+0.03216175922136764j),(0.005673403531584678+0.021838556279487224j),(-0.00543551993102213+0.017247194161957278j),(0.0033683520526633275-0.001529184745457718j),(0.0025211737854288862-0.001163744902052078j)
Bus 6,(0.006321449832875495+0.041588533883988206j),(-0.0027472276053380424+0.009218667339298192j),(-0.48332898573000227+0.8578359411165656j),(0.00499643287674545+0.04284809534867939j),(0.00514886734491384+0.022309209557821525j),(0.3035083197285179+2.0563335326916063j),(-0.0029748484965765915+0.009295372705835189j),(-0.14472645128504658+0.43149779623103823j),(-0.45969535054091104+0.8787811487785772j),(0.0010496135073812976+0.00020469319577578993j),(0.0034330378165985335-0.0009128151684823008j)
Bus 7,(0.00014883853732419752+0.0008293772159291363j),(0.010524475207253749+0.07424512394603888j),(-0.009890470438749367+0.017783754186253428j),(0.0001229808036759958+0.0008553076034613496j),(0.010267873180274473+0.03216175922136764j),(-0.002974848496576592+0.009295372705835189j),(0.00916142712173901+0.07552895302508982j),(0.006541151666330875+0.042101063814695215j),(-0.00939964919263536+0.01821391109842456j),(0.008101726876253497-0.001964106817534861j),(6.825391319430593e-05-2.0115466067481646e-05j)
Bus 8,(-0.0027523787373508256+0.009084326642606989j),(0.007280002648614271+0.04135701080507048j),(-0.4653690727301153+0.8535870706526062j),(-0.003144595005420883+0.009212148984880458j),(0.00567340353158468+0.02183855627948723j),(-0.14472645128504652+0.4314977962310382j),(0.006541151666330877+0.04210106381469522j),(0.3357552997808432+2.0225181137202757j),(-0.44174741394663775+0.8739404833830309j),(0.004497665936163784-0.0012509185980268843j),(0.0007878709400816154+0.00014756941842993877j)
Bus 9,(-0.009249303319496093+0.017968428080817275j),(-0.008901526122699673+0.018134367341608476j),(-1.2945340380872083+1.6775272565791959j),(-0.010119722741372603+0.01808563690490313j),(-0.005435519931022127+0.017247194161957285j),(-0.45969535054091104+0.8787811487785773j),(-0.009399649192635359+0.018213911098424566j),(-0.44174741394663775+0.8739404833830311j),(-1.2506761404467268+1.7294403399864515j),(0.002102397304414014+0.0007896347139150275j),(0.0015933433898417293+0.0006113125974436815j)
PV1 LV,(8.834670342945373e-05-2.681690472511314e-05j),(0.007944566842803275-0.002095993672247681j),(0.002061872803161182+0.000848553994029135j),(9.149955459035058e-05-2.4335116571671115e-05j),(0.0033683520526633275-0.0015291847454577182j),(0.0010496135073812974+0.00020469319577578993j),(0.008101726876253495-0.0019641068175348607j),(0.004497665936163784-0.0012509185980268847j),(0.0021023973044140137+0.0007896347139150274j),(0.008388101106715605-0.0018808923667108898j),(-3.0629641596107635e-06-7.1697903933559535e-06j)
PV2 LV,(0.0058667312078034654-0.0016784754326829156j),(6.685918157040677e-05-2.117448084731658e-05j),(0.0015622332789599022+0.0006558670356996861j),(0.006072451953897682-0.0015111257312390154j),(0.002521173785428886-0.0011637449020520784j),(0.0034330378165985348-0.0009128151684823013j),(6.82539131943059e-05-2.0115466067481642e-05j),(0.0007878709400816156+0.00014756941842993877j),(0.0015933433898417295+0.0006113125974436814j),(-3.062964159610763e-06-7.169790393355952e-06j),(0.006324962002250026-0.0014210793641846802j)
