name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,343.70222094459336
Load 04,500.0,184.0,532.7813810560575,Bus 04,341.55954486205957
Load 07,233.8000030517578,84.0,248.4319653889208,Bus 07,341.84487305844334
Load 08,522.0,176.0,550.8720359575352,Bus 08,341.09579584283966
Load 12,7.5,88.0,88.31902399823043,Bus 12,137.66036890327203
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379697,Bus 18,342.4477401657958
Load 20,628.0,103.0,636.390603324719,Bus 20,225.37020638863476
Load 21,274.0,115.0,297.1548417912789,Bus 21,343.63515666031554
Load 23,247.5,84.5999984741211,261.559572070726,Bus 23,344.22302401284907
Load 24,308.6000061035156,-92.19999694824219,322.0788773023554,Bus 24,347.96647393983756
Load 25,224.0,47.20000076293945,228.9188504077842,Bus 25,341.9131605558978
Load 26,139.0,17.0,140.03570973148243,Bus 26,332.30686974616185
Load 27,281.0,75.5,290.96606331323244,Bus 27,334.9965761518773
Load 28,206.0,27.600000381469727,207.84070828655567,Bus 28,317.5876139499417
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,313.66425335703025
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.952295814625,Bus 39,345.00000005023645
