name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 01,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 02,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 03,345.0,345.0,0.0,322.0,2.4000000953674316,0.0,0.0,-322.0,-2.4000000953674316
Bus 04,345.0,345.0,0.0,500.0,184.0,0.0,0.0,-500.0,-184.0
Bus 05,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 06,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 07,345.0,345.0,0.0,233.8000030517578,84.0,0.0,0.0,-233.8000030517578,-84.0
Bus 08,345.0,345.0,0.0,522.0,176.0,0.0,0.0,-522.0,-176.0
Bus 09,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 10,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 11,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 12,138.0,138.0,0.0,7.5,88.0,0.0,0.0,-7.5,-88.0
Bus 13,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 14,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 15,345.0,345.0,0.0,320.0,153.0,0.0,0.0,-320.0,-153.0
Bus 16,345.0,345.0,0.0,329.0,32.29999923706055,0.0,0.0,-329.0,-32.29999923706055
Bus 17,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 18,345.0,345.0,0.0,158.0,30.0,0.0,0.0,-158.0,-30.0
Bus 19,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 20,230.0,230.0,0.0,628.0,103.0,0.0,0.0,-628.0,-103.0
Bus 21,345.0,345.0,0.0,274.0,115.0,0.0,0.0,-274.0,-115.0
Bus 22,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 23,345.0,345.0,0.0,247.5,84.5999984741211,0.0,0.0,-247.5,-84.5999984741211
Bus 24,345.0,345.0,0.0,308.6000061035156,-92.19999694824219,0.0,0.0,-308.6000061035156,92.19999694824219
Bus 25,345.0,345.0,0.0,224.0,47.20000076293945,0.0,0.0,-224.0,-47.20000076293945
Bus 26,345.0,345.0,0.0,139.0,17.0,0.0,0.0,-139.0,-17.0
Bus 27,345.0,345.0,0.0,281.0,75.5,0.0,0.0,-281.0,-75.5
Bus 28,345.0,345.0,0.0,206.0,27.600000381469727,0.0,0.0,-206.0,-27.600000381469727
Bus 29,345.0,345.0,0.0,283.5,26.899999618530273,0.0,0.0,-283.5,-26.899999618530273
Bus 30,16.5,16.5,0.0,0.0,0.0,250.00000246801656,112.00085707234751,250.00000246801656,112.00085707234751
Bus 31,16.5,16.5,0.0,9.199999809265137,4.599999904632568,278.96030493512876,261.140821098044,269.7603051258636,256.54082119341143
Bus 32,16.5,16.5,0.0,0.0,0.0,650.0000003556089,295.19776064726216,650.0000003556089,295.19776064726216
Bus 33,16.5,16.5,0.0,0.0,0.0,632.0000002497517,200.45924711630323,632.0000002497517,200.45924711630323
Bus 34,16.5,16.5,0.0,0.0,0.0,508.0000001427141,158.21444810410404,508.0000001427141,158.21444810410404
Bus 35,16.5,16.5,0.0,0.0,0.0,650.0000001042513,168.26639666591262,650.0000001042513,168.26639666591262
Bus 36,16.5,16.5,0.0,0.0,0.0,560.000000013311,40.867594751082606,560.000000013311,40.867594751082606
Bus 39,345.0,345.0,0.0,1104.0,250.0,1000.0000011510044,80.579048736656,-103.99999884899557,-169.420951263344
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,710000.0625,-161881.421875,710000.0625,-161881.421875
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,250000.015625,-56999.9296875,250000.015625,-56999.9296875
