name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.023519,-18.850869
Bus 02,345.000000,1.032009,-18.549543
Bus 03,345.000000,1.020001,-18.141433
Bus 04,345.000000,1.000548,-15.754878
Bus 05,345.000000,1.003356,-13.575892
Bus 06,345.000000,1.006918,-12.618043
Bus 07,345.000000,0.993566,-15.161893
Bus 08,345.000000,0.991356,-15.839216
Bus 09,345.000000,1.007588,-17.761047
Bus 10,345.000000,1.021477,-10.393716
Bus 11,345.000000,1.015352,-11.151494
Bus 12,138.000000,1.003242,-11.197465
Bus 13,345.000000,1.017672,-11.138635
Bus 14,345.000000,1.013038,-12.898595
Bus 15,345.000000,1.022116,-11.948759
Bus 16,345.000000,1.023653,-11.530177
Bus 17,345.000000,1.024045,-15.400865
Bus 18,345.000000,1.020909,-16.880704
Bus 19,345.000000,1.045534,-6.320682
Bus 20,230.000000,0.983371,-7.313514
Bus 21,345.000000,1.008348,-8.995503
Bus 22,345.000000,1.011463,-4.217744
Bus 23,345.000000,1.004582,-4.424003
Bus 24,345.000000,1.024500,-11.396964
Bus 25,345.000000,1.021213,-20.191029
Bus 26,345.000000,1.054876,-21.194496
Bus 27,345.000000,1.034333,-19.738157
Bus 28,345.000000,1.082130,-24.194237
Bus 29,345.000000,1.089409,-23.586215
Bus 30,16.500000,1.000000,-15.973649
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-2.567129
Bus 33,16.500000,1.000000,-1.116202
Bus 34,16.500000,1.000000,-2.003764
Bus 35,16.500000,1.000000,1.187187
Bus 36,16.500000,1.000000,4.292644
Bus 39,345.000000,1.000000,-19.010066
PV1 LV,0.480000,1.092649,-22.816049
PV2 LV,0.480000,1.056128,-20.892781
