Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,10.332031249999998,0.2374984160860043,0.2459242201948436,0.23749721838522134,0.24694155883943505
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,20.664062499999996,0.4400357954730324,0.493081433407702,0.4371767481542659,0.49653607160396984
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999405305890342,16565.99305075816,0.9999405305890321,16565.99305010499
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.9626821630435521,21.70608929615681,0.9626821630435652,21.7060892961758
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.9813966336663968,47.64488666961403,0.9813966336645468,47.64488666564125
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.9923839295418909,119.54418086501285,0.9923839295412208,119.5441808570163
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9567086243038135,20.18181017644562,0.9567086243038968,20.181810176581386
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9651540361516512,26.59957335577326,0.9651540361521285,26.599573356144024
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9714585295992122,27.19153089636573,0.9714585380065314,27.19153745681797
