name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.013118,-7.203907
Bus 02,345.000000,1.007270,-5.069881
Bus 03,345.000000,0.998118,-5.705180
Bus 04,345.000000,0.991182,-6.096887
Bus 05,345.000000,1.000327,-5.742075
Bus 06,345.000000,1.004619,-5.172888
Bus 07,345.000000,0.991452,-7.405995
Bus 08,345.000000,0.989263,-7.922597
Bus 09,345.000000,1.007348,-8.275852
Bus 10,345.000000,1.017111,-1.816102
Bus 11,345.000000,1.011405,-2.938445
Bus 12,138.000000,0.998347,-2.625113
Bus 13,345.000000,1.012117,-2.206212
Bus 14,345.000000,1.004045,-3.047700
Bus 15,345.000000,1.007260,0.190296
Bus 16,345.000000,1.007425,1.601432
Bus 17,345.000000,0.995716,-1.459897
Bus 18,345.000000,0.994571,-3.541916
Bus 19,345.000000,1.039562,6.876468
Bus 20,230.000000,0.980113,5.867137
Bus 21,345.000000,0.996898,4.189101
Bus 22,345.000000,1.005321,9.033619
Bus 23,345.000000,0.998222,8.825212
Bus 24,345.000000,1.009702,1.734809
Bus 25,345.000000,0.992293,-5.027746
Bus 26,345.000000,0.967857,-2.062974
Bus 27,345.000000,0.974489,-3.108560
Bus 28,345.000000,0.925985,0.695628
Bus 29,345.000000,0.914748,3.748033
Bus 30,16.500000,1.000000,-2.430676
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,6.044293
Bus 33,16.500000,1.000000,12.094640
Bus 34,16.500000,1.000000,11.185025
Bus 35,16.500000,1.000000,14.471669
Bus 36,16.500000,1.000000,17.590981
Bus 39,345.000000,1.000000,-8.453942
PV1 LV,0.480000,0.904241,6.371926
PV2 LV,0.480000,0.965539,-1.474374
