name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.49999999914556,172.6243475475642,247.49999999914556,172.6243475475642
Bus 2,18.0,18.0,0.0,0.0,0.0,163.1999969483673,115.2000045780423,163.1999969483673,115.2000045780423
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-356.71570295555597,76.80000305167323,-356.71570295555597,76.80000305167323
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,113300.0,-25832.392578125,113300.0,-25832.392578125
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,150230.015625,-34252.39453125,150230.015625,-34252.39453125
