Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.015754172972278754+0.2127288546131046j),(8.914880375898136e-05+0.00081171829685719j),(-0.011195635418012396+0.01142234111907303j),(0.00862165392553142+0.07535477924648318j),(0.009997296151160951+0.0321220282614966j),(0.0047732559389753754+0.039946067339042865j),(7.387349327722404e-05+0.000825225675928617j),(-0.0038714003624503055+0.006527378367815322j),(-0.010728440227105845+0.012031450721671548j),(3.92543958748907e-05+7.219031687600069e-06j),(0.004487509585395439+0.0007647659204568683j)
Bus 2,(8.914880375898144e-05+0.0008117182968571904j),(0.010310187088957205+0.19888941418206096j),(-0.011458513018588459+0.011290372258088642j),(6.276080546857816e-05+0.0008380394407584737j),(0.009168527158139905+0.0330041094051195j),(-0.004145643946872456+0.006525221136624726j),(0.006401309733724144+0.07696374956289737j),(0.004238650627926706+0.040224841004910444j),(-0.010999363409487749+0.01191108255178536j),(0.003654715347323034+0.0006959439179834572j),(4.935213895292985e-05+1.041422134797051e-05j)
Bus 3,(-0.011195635418012398+0.011422341119073035j),(-0.011458513018588459+0.011290372258088639j),(-1.3364207966084276+1.0357745409145767j),(-0.011921942260898329+0.01134900199339168j),(-0.008396563458331237+0.011677833341642053j),(-0.5283568323634327+0.5548991989447593j),(-0.01185383920012114+0.011219199953025909j),(-0.5142209979417268+0.5549831824359795j),(-1.2962240243180339+1.0183718518324918j),(0.00036776927127686197+0.000694931670313316j),(0.00045449999666206486+0.0008771534130864772j)
Bus 4,(0.00862165392553142+0.07535477924648318j),(6.276080546857815e-05+0.0008380394407584735j),(-0.011921942260898327+0.011349001993391677j),(0.0061818145749396695+0.07781058617542921j),(0.00913750446911635+0.03339420330803607j),(0.0034856649317615085+0.041255136830723495j),(4.656855647585283e-05+0.0008513875291369546j),(-0.004214419689937124+0.006575510578966897j),(-0.011463135120628782+0.011992129583298513j),(4.0116336437149136e-05+8.823897659200246e-06j),(0.004588201845719618+0.0009465069311468965j)
Bus 5,(0.009997296151160953+0.032122028261496606j),(0.009168527158139903+0.03300410940511949j),(-0.00839656345833124+0.011677833341642055j),(0.00913750446911635+0.03339420330803607j),(0.5108566220635428+1.5382541587041572j),(0.003552793540050043+0.020668451229643673j),(0.008627270117352679+0.033666406534579266j),(0.0035768728630395864+0.02051929572605391j),(-0.007898331945322797+0.012155659740233192j),(0.0016738757663573081+3.3973287629391084e-05j),(0.0020777029674462913+3.247764387189216e-05j)
Bus 6,(0.00477325593897538+0.03994606733904288j),(-0.004145643946872456+0.006525221136624725j),(-0.5283568323634327+0.5548991989447591j),(0.0034856649317615085+0.041255136830723495j),(0.003552793540050043+0.02066845122964367j),(0.2624690549370675+1.924318286468703j),(-0.0043384557308945625+0.006534613184475923j),(-0.18704554192800593+0.3011593920571707j),(-0.5055555822338663+0.5837519284117905j),(0.00024731293357724916+0.00028567568315403j),(0.00243614626248287+0.000489845212943048j)
Bus 7,(7.38734932772241e-05+0.0008252256759286172j),(0.006401309733724145+0.07696374956289735j),(-0.011853839200121142+0.011219199953025914j),(4.6568556475852816e-05+0.0008513875291369547j),(0.008627270117352683+0.03366640653457927j),(-0.004338455730894564+0.006534613184475923j),(0.004923428102806666+0.07820261427517106j),(0.003479100440468678+0.04089054718819086j),(-0.011400740326640794+0.011858215126977519j),(0.003693145992397623+0.000780521703487809j),(4.985035963835344e-05+1.1570969770021054e-05j)
Bus 8,(-0.003871400362450304+0.006527378367815323j),(0.00423865062792671+0.040224841004910444j),(-0.5142209979417269+0.5549831824359797j),(-0.0042144196899371236+0.006575510578966897j),(0.0035768728630395895+0.02051929572605391j),(-0.18704554192800588+0.3011593920571707j),(0.0034791004404686795+0.04089054718819086j),(0.2914185728812343+1.8951689445044113j),(-0.49132033027450067+0.5831647639188812j),(0.0019427441770378498+0.00036612708209541765j),(0.00030842362792141685+0.0003529981403204279j)
Bus 9,(-0.01072844022710584+0.012031450721671551j),(-0.010999363409487747+0.01191108255178536j),(-1.2962240243180336+1.018371851832492j),(-0.011463135120628779+0.011992129583298516j),(-0.007898331945322794+0.012155659740233193j),(-0.5055555822338662+0.5837519284117906j),(-0.011400740326640792+0.011858215126977519j),(-0.4913203302745006+0.5831647639188813j),(-1.256582846986228+1.0868413124593101j),(0.0004032741445259382+0.0006821470672005927j),(0.0004992492833433401+0.0008614776122258974j)
PV1 LV,(3.925439587489073e-05+7.219031687600069e-06j),(0.0036547153473230347+0.0006959439179834573j),(0.00036776927127686197+0.0006949316703133161j),(4.0116336437149156e-05+8.823897659200244e-06j),(0.0016738757663573086+3.397328762939092e-05j),(0.00024731293357724916+0.00028567568315403003j),(0.003693145992397624+0.0007805217034878091j),(0.0019427441770378505+0.00036612708209541743j),(0.0004032741445259382+0.0006821470672005928j),(0.0037969203896468205+0.000870885049933779j),(1.1802530743564998e-06-2.164408099347795e-06j)
PV2 LV,(0.0044875095853954385+0.0007647659204568682j),(4.935213895292985e-05+1.0414221347970508e-05j),(0.0004544999966620652+0.0008771534130864773j),(0.0045882018457196186+0.0009465069311468966j),(0.0020777029674462918+3.2477643871891995e-05j),(0.00243614626248287+0.000489845212943048j),(4.9850359638353446e-05+1.1570969770021052e-05j),(0.000308423627921417+0.0003529981403204279j),(0.0004992492833433403+0.0008614776122258976j),(1.1802530743564998e-06-2.164408099347795e-06j),(0.004742261798464701+0.00109086206596562j)
