Generador,Barra Conexión,Barra Cálculo,Tipo,Control,Z_device,K_vtg_normal,λSCR_normal,K_vtg_fault,λSCR_fault
PV1,PV1 LV,Bus 29,ElmPvsys,av_mode=constq,27.552083333333336,0.5424890575911161,0.6557979205239,0.5299998113245783,0.6500819696886743
PV2,PV2 LV,Bus 26,ElmPvsys,av_mode=constq,72.32421875,0.8605211811395606,1.725792210270193,0.8180270399755405,1.6777037303071372
G 01,Bus 39,Bus 39,ElmSym,Vtheta,4099233.3984375005,0.9999400296812134,16497.34612555633,0.9999400296811993,16497.346121444167
G 02,Bus 31,Bus 31,ElmSym,Vtheta,,,,,
G 03,Bus 32,Bus 32,ElmSym,Vtheta,14423.515625000002,0.961347470531732,21.318062509305012,0.9613474705317316,21.31806250934281
G 04,Bus 33,Bus 33,ElmSym,Vtheta,14836.796875000002,0.980913975018029,47.1653920468166,0.9809139750120398,47.16539203183034
G 05,Bus 34,Bus 34,ElmSym,Vtheta,36916.34765625,0.992264686861977,119.32397492285818,0.9922646868595854,119.32397488888346
G 06,Bus 35,Bus 35,ElmSym,Vtheta,14423.515625000002,0.9544653351178448,19.64575531378284,0.9544653351174772,19.64575531393054
G 07,Bus 36,Bus 36,ElmSym,Vtheta,16744.778645833336,0.9645669773299862,26.374154708783337,0.9645669773313963,26.37415470997748
G 10,Bus 30,Bus 30,ElmSym,Vtheta,37505.2734375,0.9577483063334266,22.11021690769877,0.9577483509583447,22.110239685978023
