name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.012170,-5.535228
Bus 02,345.000000,1.005292,-3.129475
Bus 03,345.000000,0.996238,-3.926765
Bus 04,345.000000,0.990028,-4.728656
Bus 05,345.000000,0.999639,-4.635614
Bus 06,345.000000,1.003972,-4.121711
Bus 07,345.000000,0.990855,-6.310774
Bus 08,345.000000,0.988683,-6.804215
Bus 09,345.000000,1.007157,-6.926024
Bus 10,345.000000,1.016391,-0.604077
Bus 11,345.000000,1.010665,-1.778108
Bus 12,138.000000,0.997539,-1.413964
Bus 13,345.000000,1.011294,-0.944084
Bus 14,345.000000,1.002938,-1.655018
Bus 15,345.000000,1.005912,1.905344
Bus 16,345.000000,1.006214,3.455720
Bus 17,345.000000,0.993805,0.518379
Bus 18,345.000000,0.992602,-1.641803
Bus 19,345.000000,1.039117,8.735730
Bus 20,230.000000,0.979870,7.725158
Bus 21,345.000000,0.996044,6.047431
Bus 22,345.000000,1.004863,10.897005
Bus 23,345.000000,0.997748,10.688435
Bus 24,345.000000,1.008598,3.589109
Bus 25,345.000000,0.991053,-2.880368
Bus 26,345.000000,0.963208,0.703868
Bus 27,345.000000,0.971005,-0.720141
Bus 28,345.000000,0.920544,3.493648
Bus 29,345.000000,0.909172,6.582979
Bus 30,16.500000,1.000000,-0.485074
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,7.261924
Bus 33,16.500000,1.000000,13.954930
Bus 34,16.500000,1.000000,13.043655
Bus 35,16.500000,1.000000,16.337542
Bus 36,16.500000,1.000000,19.457894
Bus 39,345.000000,1.000000,-6.946281
PV1 LV,0.480000,0.898587,9.239599
PV2 LV,0.480000,0.959941,1.530118
