Bus_i,Bus_j,|Zij/Zjj|
10,11,0.9721676641379309
19,20,0.971179896496583
10,12,0.9680289363117394
29,38,0.9645672232776373
10,13,0.9642863839918412
11,12,0.9638300540581263
20,34,0.9618725709959756
12,13,0.9587235467781439
22,35,0.957884190577511
19,33,0.9545065972326221
25,37,0.9440774721836357
23,36,0.936144009389618
19,34,0.9341513039427736
33,34,0.9341513039427735
20,33,0.9337504356582429
10,32,0.9300094628893055
11,13,0.9286279656127253
2,30,0.9255395138315108
6,31,0.886813113265543
5,6,0.8171873844184194
7,8,0.8038631745155949
13,32,0.7385799979070401
11,32,0.7322573645330502
12,32,0.7312047145364502
5,31,0.7246924884974246
22,23,0.7093463173862761
1,39,0.6739055181848685
22,36,0.664050305603749
35,36,0.6640503056037489
2,25,0.6638292587849985
25,30,0.6575727699507934
28,29,0.6572863903409623
28,38,0.6339969084293633
30,37,0.6267062485952781
2,37,0.626706248595278
5,8,0.6265139408408249
11,31,0.6253029754960111
23,35,0.6241037765004331
6,8,0.6206146469009318
6,7,0.6183897550611078
9,39,0.6167355791757669
10,31,0.6108075998156586
12,31,0.6072839337107844
13,14,0.6002504038413856
13,31,0.5963012239604158
10,14,0.581784013943381
12,14,0.5784277809644387
5,7,0.573373354506108
15,16,0.5648915719032239
11,14,0.5633785408383853
2,3,0.5520400831451745
7,31,0.5364942140360746
6,11,0.5124340588687037
17,18,0.5078472765316726
26,27,0.5045836093484992
6,12,0.49626222315880225
6,13,0.4805562853252239
8,31,0.46200956102241025
16,24,0.45063507630700733
3,18,0.43665390305260016
5,11,0.433366745197873
21,22,0.4227936832047838
5,12,0.4211102251584942
4,5,0.4154981332217464
14,32,0.411169050580424
5,13,0.4092216406204974
6,10,0.4054031633197337
21,35,0.4049873850178989
1,2,0.3981904673176454
14,31,0.3889035290797391
4,14,0.3801808013987054
6,32,0.37702877817261105
31,32,0.3767250274247022
4,6,0.3695197204177193
1,30,0.36854101153351554
23,24,0.36528332256829577
3,30,0.35331879817209566
5,10,0.34401050375923786
22,24,0.3415300133155456
6,14,0.3396669717587259
16,17,0.3359360920459125
14,15,0.3299348537301518
4,31,0.3276949336766506
5,32,0.3199330238294083
21,23,0.3189736303377647
5,14,0.3173442361070763
25,26,0.315972735962834
7,11,0.3128434812667026
17,27,0.31204537609856586
3,4,0.3106553782352181
21,24,0.3077019411798934
7,12,0.30325939188833223
21,36,0.29860525319395703
3,17,0.2979120352404263
7,13,0.2939556654292628
4,11,0.28230883020033065
4,12,0.2821115262211752
4,13,0.2820238810414217
8,11,0.271806931485805
4,8,0.26962841615738703
16,21,0.2659105191780319
1,25,0.26430636845655364
8,12,0.26369914542674205
26,28,0.26004660195389684
17,24,0.25930780402551434
3,25,0.2574264321804402
8,13,0.2558298106100866
2,18,0.25582405319152746
15,24,0.2545599566097946
26,29,0.25267152129728254
4,7,0.2514551625789421
26,37,0.25104179353873973
1,37,0.2495256882144998
7,10,0.24773660182191135
26,38,0.24371866769905629
3,37,0.2430304953661622
4,10,0.23046063109749296
7,32,0.23039738399841758
24,36,0.2278214517064143
2,26,0.2208816196677362
1,3,0.2190990371188584
8,10,0.21541931408811396
4,32,0.21433056774410988
18,27,0.2142405299669569
7,14,0.21357872768262567
2,17,0.20106923722910833
8,32,0.20034200059106952
24,35,0.20019327076927745
14,16,0.19948029837488176
9,31,0.19773323787229033
13,15,0.19769669364475306
15,17,0.1961417709128353
10,15,0.1916128205370592
12,15,0.1905074321935128
8,14,0.1901190683495533
3,16,0.18888347402441663
25,27,0.1865827216583963
18,30,0.18635170116809438
11,15,0.18555293570881407
26,30,0.184134765250998
16,19,0.17668905862170609
2,4,0.1726233855972804
18,24,0.1724613198883002
16,18,0.172183475981052
16,20,0.1715968616643072
16,33,0.16865087211323995
16,34,0.1650543145038879
17,26,0.1607300142466732
16,23,0.1555532091375575
17,21,0.15301221857919467
16,22,0.15284351027769028
2,27,0.15247554215780615
19,24,0.15109005174968035
15,21,0.1502106111640808
24,33,0.1492376628838366
18,25,0.1482491649475971
20,24,0.14780453278575703
2,39,0.14700386828158943
30,39,0.14700386828158943
16,35,0.14640638212737087
24,34,0.14605510091234325
