name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.024268,-16.517770
Bus 02,345.000000,1.034315,-15.887989
Bus 03,345.000000,1.023073,-15.701249
Bus 04,345.000000,1.003625,-13.855964
Bus 05,345.000000,1.006314,-12.031504
Bus 06,345.000000,1.009794,-11.152999
Bus 07,345.000000,0.996426,-13.619080
Bus 08,345.000000,0.994172,-14.260335
Bus 09,345.000000,1.008920,-15.854989
Bus 10,345.000000,1.023644,-8.733786
Bus 11,345.000000,1.017732,-9.554309
Bus 12,138.000000,1.005672,-9.534954
Bus 13,345.000000,1.020030,-9.411440
Bus 14,345.000000,1.015711,-10.996283
Bus 15,345.000000,1.024684,-9.662198
Bus 16,345.000000,1.026291,-9.078715
Bus 17,345.000000,1.028133,-12.773526
Bus 18,345.000000,1.024579,-14.320766
Bus 19,345.000000,1.046504,-3.879676
Bus 20,230.000000,0.983900,-4.869852
Bus 21,345.000000,1.010208,-6.552454
Bus 22,345.000000,1.012461,-1.785368
Bus 23,345.000000,1.005615,-1.991285
Bus 24,345.000000,1.026906,-8.945531
Bus 25,345.000000,1.026893,-17.354532
Bus 26,345.000000,1.063266,-17.677571
Bus 27,345.000000,1.041105,-16.612371
Bus 28,345.000000,1.082874,-21.815510
Bus 29,345.000000,1.088063,-21.568599
Bus 30,16.500000,1.000000,-13.317843
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-0.923871
Bus 33,16.500000,1.000000,1.322592
Bus 34,16.500000,1.000000,0.438581
Bus 35,16.500000,1.000000,3.614220
Bus 36,16.500000,1.000000,6.717441
Bus 39,345.000000,1.000000,-16.885568
PV1 LV,0.480000,1.090250,-21.053397
PV2 LV,0.480000,1.066581,-16.869181
