name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,378.1543322987296,0.5277114852288032
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,365.920428877721,0.5098930505772534
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,356.59065290067537,16.50000000705365
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,347.94068824269385,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,352.8386722191776,16.5000000016562
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,350.76385382872235,138.63980805596506
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,351.5672203601998,138.63980805596506
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,360.9197598716616,226.25187910429466
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,360.9197598716616,16.500000004798064
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,226.25187910429466,16.500000005001983
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,349.1713680433101,16.500000003589125
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,346.80513117178106,16.50000000338757
