Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1180;6046,0921
Bus 02;13,7481;8215,3040
Bus 03;12,6930;7584,7722
Bus 04;12,8221;7661,9487
Bus 05;13,6278;8143,3954
Bus 06;14,2192;8496,7682
Bus 07;11,0285;6590,1883
Bus 08;11,4140;6820,5432
Bus 09;10,0314;5994,3136
Bus 10;13,3192;7959,0089
Bus 11;12,8488;7677,8689
Bus 12;13,6492;3262,4714
Bus 13;12,3015;7350,8495
Bus 14;12,5307;7487,7995
Bus 15;11,6936;6987,5756
Bus 16;16,1066;9624,6056
Bus 17;12,8753;7693,7066
Bus 18;11,2095;6698,2944
Bus 19;13,3239;7961,8151
Bus 20;14,4665;5763,0503
Bus 21;11,1832;6682,5822
Bus 22;12,7320;7608,0868
Bus 23;11,5804;6919,9575
Bus 24;12,0838;7220,7809
Bus 25;9,3920;5612,2711
Bus 26;7,2774;4348,6773
Bus 27;8,0376;4802,9230
Bus 28;3,8732;2314,4617
Bus 29;3,8397;2294,4398
Bus 30;295,1443;8434,8815
Bus 31;227,1316;6491,1581
Bus 32;250,5323;7159,9228
Bus 33;261,2617;7466,5556
Bus 34;195,7711;5594,9107
Bus 35;258,3164;7382,3813
Bus 36;214,2922;6124,2227
Bus 39;96,6788;57771,1192
PV1 LV;2491,6790;2071,5430
PV2 LV;4303,2203;3577,6301
