Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0235
Bus 02;1.0320
Bus 03;1.0200
Bus 04;1.0005
Bus 05;1.0034
Bus 06;1.0069
Bus 07;0.9936
Bus 08;0.9914
Bus 09;1.0076
Bus 10;1.0215
Bus 11;1.0154
Bus 12;1.0032
Bus 13;1.0177
Bus 14;1.0130
Bus 15;1.0221
Bus 16;1.0237
Bus 17;1.0240
Bus 18;1.0209
Bus 19;1.0455
Bus 20;0.9834
Bus 21;1.0083
Bus 22;1.0115
Bus 23;1.0046
Bus 24;1.0245
Bus 25;1.0212
Bus 26;1.0549
Bus 27;1.0343
Bus 28;1.0821
Bus 29;1.0894
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;1.0926
PV2 LV;1.0561
