Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,4246;6229,3267
Bus 02;14,7549;8816,8940
Bus 03;13,5553;8100,0585
Bus 04;13,3813;7996,1036
Bus 05;14,0573;8400,0663
Bus 06;14,6429;8749,9535
Bus 07;11,3458;6779,7619
Bus 08;11,7365;7013,2157
Bus 09;10,1659;6074,7374
Bus 10;13,7207;8198,8945
Bus 11;13,2358;7909,1688
Bus 12;14,0814;3365,7866
Bus 13;12,7100;7594,9501
Bus 14;13,0411;7792,7789
Bus 15;12,3001;7350,0192
Bus 16;17,0190;10169,8433
Bus 17;13,9635;8343,9832
Bus 18;12,0863;7222,2659
Bus 19;13,7401;8210,5042
Bus 20;14,8257;5906,1570
Bus 21;11,6895;6985,1597
Bus 22;13,1560;7861,4861
Bus 23;11,9654;7150,0352
Bus 24;12,7281;7605,7911
Bus 25;10,3722;6197,9790
Bus 26;8,7196;5210,4361
Bus 27;9,2283;5514,4526
Bus 28;4,9284;2945,0049
Bus 29;4,9684;2968,9081
Bus 30;306,8478;8769,3535
Bus 31;230,8388;6597,1047
Bus 32;254,8622;7283,6650
Bus 33;266,6424;7620,3295
Bus 34;198,9529;5685,8421
Bus 35;263,8830;7541,4707
Bus 36;217,9765;6229,5138
Bus 39;96,9733;57947,1151
PV1 LV;3286,8844;2732,6643
PV2 LV;5250,1497;4364,8924
