Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0110
Bus 02;1.0031
Bus 03;0.9941
Bus 04;0.9885
Bus 05;0.9986
Bus 06;1.0029
Bus 07;0.9899
Bus 08;0.9877
Bus 09;1.0068
Bus 10;1.0153
Bus 11;1.0095
Bus 12;0.9963
Bus 13;1.0101
Bus 14;1.0014
Bus 15;1.0043
Bus 16;1.0049
Bus 17;0.9919
Bus 18;0.9905
Bus 19;1.0386
Bus 20;0.9796
Bus 21;0.9951
Bus 22;1.0044
Bus 23;0.9972
Bus 24;1.0074
Bus 25;0.9904
Bus 26;0.9596
Bus 27;0.9680
Bus 28;0.9203
Bus 29;0.9097
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.8997
PV2 LV;0.9546
