Indice,P1_MW,P2_MW,Bus_Critico,U_Critico_pu,Bus_G1,Bus_G2,Anomalia_Detectada
70,1.0,240.47410952533318,PV2 LV,0.9000532184910092,Bus 7,Bus 4,NO
69,4.6,237.67792021013838,PV2 LV,0.9002574249222091,Bus 7,Bus 4,NO
68,8.2,234.97903196683257,PV2 LV,0.900345692032992,Bus 7,Bus 4,NO
67,11.9,232.1660197256754,PV2 LV,0.9004568352973248,Bus 7,Bus 4,NO
66,15.5,229.47618499414216,PV2 LV,0.9004990890143884,Bus 7,Bus 4,NO
65,19.1,226.83755821508905,PV2 LV,0.9004716026001762,Bus 7,Bus 4,NO
64,22.7,224.25542866829016,PV2 LV,0.9003685358464427,Bus 7,Bus 4,NO
63,26.4,221.66668906619995,PV2 LV,0.9001772952232389,Bus 7,Bus 4,NO
62,30.0,219.03505835835,PV2 LV,0.9000859008983615,Bus 7,Bus 4,NO
61,33.6,216.08991608129475,PV2 LV,0.9002925109349341,Bus 7,Bus 4,NO
60,37.2,213.18871401709424,PV2 LV,0.9004359473031662,Bus 7,Bus 4,NO
59,40.9,210.26196907808782,PV2 LV,0.9005080653985406,Bus 7,Bus 4,NO
58,44.5,207.47331558760092,PV2 LV,0.90049959459429,Bus 7,Bus 4,NO
57,48.1,204.74898672437155,PV2 LV,0.9004069092390433,Bus 7,Bus 4,NO
56,51.7,202.09582902010473,PV2 LV,0.900222866920091,Bus 7,Bus 4,NO
55,55.3,199.40993435865204,PV2 LV,0.9000520929604243,Bus 7,Bus 4,NO
54,59.0,196.22058209216556,PV2 LV,0.9002916599924108,Bus 7,Bus 4,NO
53,62.6,193.17367372461803,PV2 LV,0.9004478474680584,Bus 7,Bus 4,NO
52,66.2,190.18782165864187,PV2 LV,0.9005224066971808,Bus 7,Bus 4,NO
51,69.8,187.2692304461006,PV2 LV,0.9005094020297809,Bus 7,Bus 4,NO
50,73.5,184.3472316444413,PV2 LV,0.9003965406731105,Bus 7,Bus 4,NO
49,77.1,182.17759352985033,PV2 LV,0.899579711093108,Bus 7,Bus 4,NO
48,80.7,178.65962652872696,PV2 LV,0.9001176087453188,Bus 7,Bus 4,NO
47,84.3,175.42278354596135,PV2 LV,0.9003475922014501,Bus 7,Bus 4,NO
46,88.0,172.1639290283057,PV2 LV,0.9004935210127202,Bus 7,Bus 4,NO
45,91.6,169.06597048514462,PV2 LV,0.9005410172653305,Bus 7,Bus 4,NO
44,95.2,166.04743797805077,PV2 LV,0.9004873507756891,Bus 7,Bus 4,NO
43,98.8,164.136842244087,PV2 LV,0.8992807340593704,Bus 7,Bus 4,NO
42,102.4,160.98591157741387,PV2 LV,0.8993205423029795,Bus 7,Bus 4,NO
41,106.1,156.8462268363713,PV2 LV,0.9002612646447177,Bus 7,Bus 4,NO
40,109.7,153.50311961325255,PV2 LV,0.9004537274910704,Bus 7,Bus 4,NO
39,113.3,150.23793496538153,PV2 LV,0.9005455767485658,Bus 7,Bus 4,NO
38,116.9,147.05896190119722,PV2 LV,0.900528677975286,Bus 7,Bus 4,NO
37,120.6,145.6948637294043,PV1 LV,0.8984600500854063,Bus 7,Bus 4,NO
36,124.2,141.55000154427782,PV1 LV,0.8987240800480347,Bus 7,Bus 4,NO
35,127.8,136.01958483685024,PV1 LV,0.9003211508931868,Bus 7,Bus 4,NO
34,131.4,131.8757259362252,PV1 LV,0.9005102974681183,Bus 7,Bus 4,NO
33,135.1,127.76502068167646,PV1 LV,0.9005309563216056,Bus 7,Bus 4,NO
32,138.7,124.01920377752162,PV1 LV,0.9002797185696578,Bus 7,Bus 4,NO
31,142.3,120.54984130660173,PV1 LV,0.8997386999228423,Bus 7,Bus 4,NO
30,145.9,115.88563370696306,PV1 LV,0.9003108365336895,Bus 7,Bus 4,NO
29,149.6,111.48654860630319,PV1 LV,0.9004887766048978,Bus 7,Bus 4,NO
28,153.2,107.3573266866998,PV1 LV,0.9004901190654311,Bus 7,Bus 4,NO
27,156.8,103.38862530749299,PV1 LV,0.9003142380815548,Bus 7,Bus 4,NO
26,160.4,99.49471427579603,PV1 LV,0.9000426280219732,Bus 7,Bus 4,NO
25,164.0,94.95000099334823,PV1 LV,0.9003413458679079,Bus 7,Bus 4,NO
24,167.7,90.43189439167364,PV1 LV,0.9004742587523499,Bus 7,Bus 4,NO
23,171.3,86.19535925733832,PV1 LV,0.9004283460399477,Bus 7,Bus 4,NO
22,174.9,82.12852945048694,PV1 LV,0.9002018013189922,Bus 7,Bus 4,NO
21,178.5,77.82257087891941,PV1 LV,0.9001606000318825,Bus 7,Bus 4,NO
20,182.2,73.04977793275211,PV1 LV,0.9003929448632475,Bus 7,Bus 4,NO
19,185.8,68.56524779850693,PV1 LV,0.900445495288966,Bus 7,Bus 4,NO
18,189.4,64.24855580889077,PV1 LV,0.9003210614975228,Bus 7,Bus 4,NO
17,193.0,60.11292590585639,PV1 LV,0.9000114121137132,Bus 7,Bus 4,NO
16,196.7,55.12596432491684,PV1 LV,0.9002938976020842,Bus 7,Bus 4,NO
15,200.3,50.409674677818856,PV1 LV,0.9004165401354157,Bus 7,Bus 4,NO
14,203.9,45.86273347799232,PV1 LV,0.9003634702852009,Bus 7,Bus 4,NO
13,207.5,41.49666356508068,PV1 LV,0.9001282562525587,Bus 7,Bus 4,NO
12,211.1,36.72021633906618,PV1 LV,0.9002024241252716,Bus 7,Bus 4,NO
11,214.8,31.648240973463622,PV1 LV,0.9003754143845439,Bus 7,Bus 4,NO
10,218.4,26.887964518478,PV1 LV,0.9003653523797206,Bus 7,Bus 4,NO
9,222.0,22.31165907385023,PV1 LV,0.9001741770273519,Bus 7,Bus 4,NO
8,225.6,17.483801506148954,PV1 LV,0.9001515209016367,Bus 7,Bus 4,NO
7,229.3,12.204357735567502,PV1 LV,0.9003419290209822,Bus 7,Bus 4,NO
6,232.9,7.247681088108049,PV1 LV,0.9003475418323508,Bus 7,Bus 4,NO
5,236.5,2.4797796109798615,PV1 LV,0.9001716019199396,Bus 7,Bus 4,NO
0,251,1.0,PV1 LV,0.8846475114097596,Bus 7,Bus 4,NO
