name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,378.43236005390645,0.5276775487153421
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,368.9130116732447,0.5149528842787193
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,357.38020850537947,16.500000002025857
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,348.8640552827372,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,353.5366744636719,16.500000000455376
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,351.52822587237597,138.9528167576594
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,352.3296512089093,138.9528167576594
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,361.24889345252086,226.37156159299937
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,361.24889345252086,16.500000001254655
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,226.37156159299937,16.500000001351587
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,349.5097370975561,16.500000000924686
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,347.1555152191866,16.500000000836355
