Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1560;6068,7732
Bus 02;13,8728;8289,7698
Bus 03;12,7997;7648,5552
Bus 04;12,8913;7703,3109
Bus 05;13,6810;8175,1665
Bus 06;14,2716;8528,1078
Bus 07;11,0678;6613,6540
Bus 08;11,4539;6844,3925
Bus 09;10,0480;6004,2685
Bus 10;13,3689;7988,7023
Bus 11;12,8967;7706,4995
Bus 12;13,7027;3275,2599
Bus 13;12,3521;7381,0646
Bus 14;12,5939;7525,5503
Bus 15;11,7686;7032,4394
Bus 16;16,2195;9692,0960
Bus 17;13,0100;7774,1989
Bus 18;11,3180;6763,1524
Bus 19;13,3754;7992,5982
Bus 20;14,5110;5780,7642
Bus 21;11,2458;6720,0357
Bus 22;12,7845;7639,4529
Bus 23;11,6281;6948,4369
Bus 24;12,1636;7268,4381
Bus 25;9,5133;5684,7709
Bus 26;7,4559;4455,3471
Bus 27;8,1850;4890,9972
Bus 28;3,9615;2367,2414
Bus 29;3,9253;2345,6161
Bus 30;296,5930;8476,2830
Bus 31;227,5905;6504,2723
Bus 32;251,0683;7175,2398
Bus 33;261,9277;7485,5900
Bus 34;196,1649;5606,1664
Bus 35;259,0054;7402,0737
Bus 36;214,7483;6137,2558
Bus 39;96,7152;57792,9043
PV1 LV;2548,4779;2118,7647
PV2 LV;4431,5242;3684,2999
