name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.00894397587433,Bus 03,342.4476187070502
Load 04,500.0,184.0,532.7813810560575,Bus 04,340.68664786829663
Load 07,233.8000030517578,84.0,248.43196538892087,Bus 07,341.303239633896
Load 08,522.0,176.0,550.8720359575351,Bus 08,340.5685806453327
Load 12,7.5,88.0,88.31902399823042,Bus 12,137.403852140831
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379697,Bus 18,341.1484023636235
Load 20,628.0,103.0,636.3906033247191,Bus 20,225.26077224774295
Load 21,274.0,115.0,297.1548417912789,Bus 21,343.05802455729446
Load 23,247.5,84.5999984741211,261.55957207072595,Bus 23,343.9024155159889
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,347.22082910512614
Load 25,224.0,47.20000076293945,228.91885040778425,Bus 25,341.05990251442296
Load 26,139.0,17.0,140.03570973148243,Bus 26,329.5422895845554
Load 27,281.0,75.5,290.9660633132325,Bus 27,332.83267012749604
Load 28,206.0,27.600000381469727,207.8407082865556,Bus 28,314.92471307321847
Load 29,283.5,26.899999618530273,284.77334843604467,Bus 29,311.04939267083046
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.952295814625,Bus 39,345.0000001716491
