name,from_bus,to_bus,r_pu,x_pu,s_nom,tap,voltage_hv,voltage_lv
TR PV1 HV/LV,Bus 29,PV1 LV,0.0,0.07999999821186066,1500.0,3,311.04939267083046,0.42774349085413177
TR PV2 HV/LV,Bus 26,PV2 LV,0.0,0.07999999821186066,1500.0,3,329.5422895845554,0.456044776244399
Trf 02 - 30,Bus 02,Bus 30,0.0,0.1810000091791153,1000.0,1,345.57058967383796,16.50000000850724
Trf 06 - 31,Bus 06,Bus 31,0.0,0.17499999701976776,700.0,2,345.79520610120846,16.5
Trf 10 - 32,Bus 10,Bus 32,0.0,0.1599999964237213,800.0,2,350.08308034194596,16.50000000159671
Trf 11 - 12,Bus 11,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.07938343243956,137.403852140831
Trf 13 - 12,Bus 13,Bus 12,0.004799999762326479,0.1304999440908432,300.0,1,348.2546387185099,137.403852140831
Trf 19 - 20,Bus 19,Bus 20,0.006999999284744263,0.1379999816417694,1000.0,2,358.1943757838492,225.26077224774295
Trf 19 - 33,Bus 19,Bus 33,0.00559999980032444,0.11359994858503342,800.0,2,358.1943757838492,16.500000000317428
Trf 20 - 34,Bus 20,Bus 34,0.005400000140070915,0.10799998044967651,600.0,1,225.26077224774295,16.500000000429385
Trf 22 - 35,Bus 22,Bus 35,0.0,0.1143999993801117,800.0,1,346.36815873437934,16.500000000038593
Trf 23 - 36,Bus 23,Bus 36,0.0034999996423721313,0.19040003418922424,700.0,0,343.9024155159889,16.50000000026945
