Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,3457;6182,1784
Bus 02;14,4958;8662,0984
Bus 03;13,3334;7967,4697
Bus 04;13,2374;7910,1219
Bus 05;13,9468;8334,0221
Bus 06;14,5338;8684,8062
Bus 07;11,2642;6730,9826
Bus 08;11,6535;6963,6390
Bus 09;10,1313;6054,0434
Bus 10;13,6174;8137,1693
Bus 11;13,1362;7849,6528
Bus 12;13,9702;3339,2025
Bus 13;12,6049;7532,1404
Bus 14;12,9097;7714,3044
Bus 15;12,1440;7256,7585
Bus 16;16,7842;10029,5477
Bus 17;13,6835;8176,6600
Bus 18;11,8607;7087,4424
Bus 19;13,6330;8146,5138
Bus 20;14,7333;5869,3341
Bus 21;11,5592;6907,3032
Bus 22;13,0469;7796,2837
Bus 23;11,8664;7090,8337
Bus 24;12,5623;7506,7238
Bus 25;10,1200;6047,2700
Bus 26;8,3485;4988,6962
Bus 27;8,9219;5331,3683
Bus 28;4,7754;2853,5717
Bus 29;4,8295;2885,9019
Bus 30;303,8364;8683,2902
Bus 31;229,8849;6569,8435
Bus 32;253,7481;7251,8248
Bus 33;265,2579;7580,7618
Bus 34;198,1342;5662,4445
Bus 35;262,4507;7500,5353
Bus 36;217,0285;6202,4213
Bus 39;96,8975;57901,8295
PV1 LV;3198,9352;2659,5448
PV2 LV;4975,4133;4136,4809
