Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0131
Bus 02;1.0073
Bus 03;0.9981
Bus 04;0.9912
Bus 05;1.0003
Bus 06;1.0046
Bus 07;0.9915
Bus 08;0.9893
Bus 09;1.0073
Bus 10;1.0171
Bus 11;1.0114
Bus 12;0.9983
Bus 13;1.0121
Bus 14;1.0040
Bus 15;1.0073
Bus 16;1.0074
Bus 17;0.9957
Bus 18;0.9946
Bus 19;1.0396
Bus 20;0.9801
Bus 21;0.9969
Bus 22;1.0053
Bus 23;0.9982
Bus 24;1.0097
Bus 25;0.9923
Bus 26;0.9679
Bus 27;0.9745
Bus 28;0.9260
Bus 29;0.9147
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.9042
PV2 LV;0.9655
