Escenario,Bus_LV,SCR_scr_Inorm,GSIM_hv_Inorm,NRSCR_Inorm,SDSCR_coupled_Inorm,λSCR_normal_LSCR_Inorm,K_vtg_normal_LSCR_Inorm
Escenario_1,PV1 LV,2.026734,13.265827659338647,2.5500000000000003,2.5481689543555976,0.21669398989622476,0.8833330188742972
Escenario_1,PV2 LV,11.521195757575759,67.36424716308105,13.176666666666668,13.134555423356638,0.5592345767690458,1.3633783999592342
Escenario_2,PV1 LV,1.9774300767529596,13.139600982409661,2.5233333333333334,2.521119064091839,0.1896508451988368,0.8030613721478649
Escenario_2,PV2 LV,8.721571353198906,52.02716819561169,10.106666666666667,10.080774155147548,0.4294135827086858,1.2614960370251473
Escenario_3,PV1 LV,2.026734,13.56171512434977,2.606666666666667,2.6041127110745785,0.2166939876863708,0.8833330404762443
Escenario_3,PV2 LV,6.6701659649122815,40.59349218003823,7.816666666666666,7.801525103111384,0.3237861020112909,1.1206898255064734
Escenario_4,PV1 LV,3.040101,19.538291624816114,3.8033333333333332,3.797141233768117,0.323449679598053,1.1157190055662787
Escenario_4,PV2 LV,4.224438444444444,25.836699086190162,4.966666666666667,4.961167604529259,0.21714699787653371,0.8889862568747977
Escenario_5,PV1 LV,2.7155882090218846,17.848840739601062,3.4633333333333334,3.4581915048917113,0.2699754403601881,1.0120065668541909
Escenario_5,PV2 LV,3.9642514102203172,24.623811561684352,4.72,4.715974737242033,0.19011892525691335,0.8087687514056279
Escenario_6,PV1 LV,2.4320808,16.193433433936715,3.1333333333333333,3.1276066024584215,0.24331270133082952,0.95113681828666
Escenario_6,PV2 LV,4.224438444444444,26.222158821455118,5.04,5.034188454916763,0.21714706643974266,0.8889865170379223
