Escenario,Bus_LV,S_sc_HV_GSIM,SCR_HV_GSIM,GSIM_hv,Bus_HV,SCR_NRSCR,NRSCR,SCR_SDSCR,SDSCR_coupled,SDSCR_no_coupling,Z_device_LSCR,K_vtg_normal_LSCR,λSCR_normal_LSCR,SCR_scr
Escenario_1,PV1 LV,2294.4398,7.648132666666667,7.959496595603189,Bus 29,7.65,7.65,7.648132666666667,7.644506863066793,7.648132666666667,27.552083333333336,0.5299998113245783,0.6500819696886743,6.080202
Escenario_1,PV2 LV,4348.6773,39.53342719222818,40.41854829784862,Bus 26,39.53,39.53,39.53342712484167,39.40366627006991,39.53342712484167,72.32421875,0.8180270399755405,1.6777037303071372,34.563587272727275
Escenario_2,PV1 LV,2327.0014,7.567976453753089,7.883760589445796,Bus 29,7.57,7.57,7.56797618301113,7.563357192275517,7.56797618301113,24.108072916666668,0.4818368232887189,0.5689525355965104,5.932290230258879
Escenario_2,PV2 LV,4405.7323,30.31953634476116,31.21630091736701,Bus 26,30.32,30.32,30.31953689247829,30.242322465442644,30.31953689247829,55.10416666666667,0.7568976222150884,1.2882407481260574,26.16471405959672
Escenario_3,PV1 LV,2345.6161,7.818720333333334,8.137029074609861,Bus 29,7.82,7.82,7.818720333333334,7.812338133223736,7.818720333333334,27.552083333333336,0.5299998242857465,0.6500819630591124,6.080202
Escenario_3,PV2 LV,4455.3471,23.449193334770285,24.356095308022937,Bus 26,23.45,23.45,23.449193411905785,23.404575309334152,23.449193411905785,41.32812499999999,0.6724138953038841,0.9713583060338726,20.010497894736844
Escenario_4,PV1 LV,2282.6464,11.41323110834132,11.722974974889668,Bus 29,11.41,11.41,11.413231144007666,11.391423701304351,11.413231144007666,41.32812499999999,0.6694314033397671,0.970349038794159,9.120303
Escenario_4,PV2 LV,4468.6809,14.895603,15.502019451714096,Bus 26,14.9,14.9,14.895603,14.883502813587778,14.895603,27.552083333333336,0.5333917541248786,0.6514409936296012,12.673315333333331
Escenario_5,PV1 LV,2327.1098,10.393522276021503,10.709304443760637,Bus 29,10.39,10.39,10.393522583556484,10.374574514675134,10.393522583556484,34.44010416666667,0.6072039401125146,0.8099263210805643,8.146764627065654
Escenario_5,PV2 LV,4526.8026,14.159975601363822,14.774286937010611,Bus 26,14.16,14.16,14.159975512778155,14.147924211726098,14.159975512778155,24.108072916666668,0.4852612508433767,0.5703567757707401,11.892754230660952
Escenario_6,PV1 LV,2349.315,9.397259412671287,9.716060060362029,Bus 29,9.4,9.4,9.397259436164434,9.382819807375265,9.397259436164434,30.996093750000004,0.570682090971996,0.7299381039924886,7.2962424
Escenario_6,PV2 LV,4535.3495,15.117831666666667,15.73329529287307,Bus 26,15.12,15.12,15.117831666666667,15.102565364750289,15.117831666666667,27.552083333333336,0.5333919102227533,0.651441199319228,12.673315333333331
