name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.024472,-16.748164
Bus 02,345.000000,1.034812,-16.152948
Bus 03,345.000000,1.023491,-15.946553
Bus 04,345.000000,1.003758,-14.047808
Bus 05,345.000000,1.006311,-12.187520
Bus 06,345.000000,1.009776,-11.301285
Bus 07,345.000000,0.996407,-13.773721
Bus 08,345.000000,0.994154,-14.418185
Bus 09,345.000000,1.008897,-16.043458
Bus 10,345.000000,1.023685,-8.904110
Bus 11,345.000000,1.017758,-9.717534
Bus 12,138.000000,1.005717,-9.705229
Bus 13,345.000000,1.020093,-9.588761
Bus 14,345.000000,1.015842,-11.191636
Bus 15,345.000000,1.024956,-9.901734
Bus 16,345.000000,1.026608,-9.337346
Bus 17,345.000000,1.028708,-13.047486
Bus 18,345.000000,1.025101,-14.583286
Bus 19,345.000000,1.046621,-4.139562
Bus 20,230.000000,0.983964,-5.129418
Bus 21,345.000000,1.010432,-6.812093
Bus 22,345.000000,1.012581,-2.046288
Bus 23,345.000000,1.005740,-2.252164
Bus 24,345.000000,1.027195,-9.204165
Bus 25,345.000000,1.027508,-17.651894
Bus 26,345.000000,1.065162,-18.043408
Bus 27,345.000000,1.042378,-16.935122
Bus 28,345.000000,1.092839,-20.988343
Bus 29,345.000000,1.100091,-20.392371
Bus 30,16.500000,1.000000,-13.584036
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,-1.094507
Bus 33,16.500000,1.000000,1.062441
Bus 34,16.500000,1.000000,0.178856
Bus 35,16.500000,1.000000,3.352658
Bus 36,16.500000,1.000000,6.455610
Bus 39,345.000000,1.000000,-17.094937
PV1 LV,0.480000,1.103302,-19.637048
PV2 LV,0.480000,1.067285,-17.532686
