Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,3790;6202,0243
Bus 02;14,6049;8727,2558
Bus 03;13,4268;8023,2797
Bus 04;13,2980;7946,3138
Bus 05;13,9933;8361,8218
Bus 06;14,5797;8712,2284
Bus 07;11,2985;6751,5150
Bus 08;11,6884;6984,5071
Bus 09;10,1459;6062,7540
Bus 10;13,6609;8163,1511
Bus 11;13,1782;7874,7046
Bus 12;14,0170;3350,3924
Bus 13;12,6491;7558,5786
Bus 14;12,9650;7747,3363
Bus 15;12,2097;7296,0143
Bus 16;16,8831;10088,6017
Bus 17;13,8013;8247,0907
Bus 18;11,9557;7144,1931
Bus 19;13,6781;8173,4490
Bus 20;14,7722;5884,8338
Bus 21;11,6141;6940,0750
Bus 22;13,0928;7823,7291
Bus 23;11,9081;7115,7531
Bus 24;12,6321;7548,4238
Bus 25;10,2261;6110,7073
Bus 26;8,5047;5082,0322
Bus 27;9,0509;5408,4332
Bus 28;4,7347;2829,2269
Bus 29;4,7535;2840,5042
Bus 30;305,1040;8719,5165
Bus 31;230,2864;6581,3184
Bus 32;254,2170;7265,2271
Bus 33;265,8406;7597,4169
Bus 34;198,4788;5672,2931
Bus 35;263,0536;7517,7661
Bus 36;217,4275;6213,8252
Bus 39;96,9294;57920,8914
PV1 LV;3132,4386;2604,2605
PV2 LV;5118,6350;4255,5531
