Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0135
Bus 02;1.0088
Bus 03;0.9997
Bus 04;0.9921
Bus 05;1.0010
Bus 06;1.0052
Bus 07;0.9921
Bus 08;0.9899
Bus 09;1.0077
Bus 10;1.0176
Bus 11;1.0119
Bus 12;0.9989
Bus 13;1.0127
Bus 14;1.0048
Bus 15;1.0084
Bus 16;1.0090
Bus 17;0.9985
Bus 18;0.9969
Bus 19;1.0401
Bus 20;0.9804
Bus 21;0.9980
Bus 22;1.0059
Bus 23;0.9988
Bus 24;1.0111
Bus 25;0.9968
Bus 26;0.9764
Bus 27;0.9804
Bus 28;0.9487
Bus 29;0.9407
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.9326
PV2 LV;0.9714
