Bus,SCR,SDSCR_coupled,SDSCR_no_coupling,Strength,SCC (MVA)
BUS 31,35.84771746582732,10112706.840015588,inf,Strong,6597.1047
BUS 34,11.192602559055118,762499.850524611,inf,Strong,5685.8421
BUS 36,11.124131785714285,2921635.2819746626,inf,Strong,6229.5138
BUS 30,35.077413579071035,45088.061723251936,inf,Strong,8769.3535
BUS 39,57.947114984105774,8679430.285658358,inf,Strong,57947.1151
BUS 32,11.205638461538461,11992900.214510947,inf,Strong,7283.665
BUS 26,13.711672828784586,13.67992731238598,13.711672828784586,Strong,5210.4361
BUS 33,12.05748338607595,981619.4951547708,inf,Strong,7620.3295
BUS 35,11.602262615384616,3939105.4376106285,inf,Strong,7541.4707
BUS 29,4.389927376746353,4.387055672069603,4.389927376746353,Strong,2968.9081
