Nodo (Terminal);Tensión m:u [p.u.]
Bus 01;1.0122
Bus 02;1.0053
Bus 03;0.9962
Bus 04;0.9900
Bus 05;0.9996
Bus 06;1.0040
Bus 07;0.9909
Bus 08;0.9887
Bus 09;1.0072
Bus 10;1.0164
Bus 11;1.0107
Bus 12;0.9975
Bus 13;1.0113
Bus 14;1.0029
Bus 15;1.0059
Bus 16;1.0062
Bus 17;0.9938
Bus 18;0.9926
Bus 19;1.0391
Bus 20;0.9799
Bus 21;0.9960
Bus 22;1.0049
Bus 23;0.9977
Bus 24;1.0086
Bus 25;0.9911
Bus 26;0.9632
Bus 27;0.9710
Bus 28;0.9205
Bus 29;0.9092
Bus 30;1.0000
Bus 31;1.0000
Bus 32;1.0000
Bus 33;1.0000
Bus 34;1.0000
Bus 35;1.0000
Bus 36;1.0000
Bus 39;1.0000
PV1 LV;0.8986
PV2 LV;0.9599
