Escenario,Bus_LV,SCR_scr_Inorm,GSIM_hv_Inorm,NRSCR_Inorm,SDSCR_coupled_Inorm,λSCR_normal_LSCR_Inorm,K_vtg_normal_LSCR_Inorm
Escenario_1,PV1 LV,1.0483106896551724,8.804921868706847,1.6333333333333335,1.631208191171137,0.10983875119325504,0.5148902483081134
Escenario_1,PV2 LV,3.3350829824561408,23.439087537702974,4.456666666666666,4.449221487799813,0.16551215016156023,0.7286282487443373
Escenario_2,PV1 LV,0.8990391837941742,7.988182582747422,1.4633333333333332,1.4623518906898676,0.0823234049048511,0.3958269224360215
Escenario_2,PV2 LV,3.3350829824561408,24.031305401313215,4.57,4.559975770795327,0.16551204775981057,0.7286279735268096
Escenario_3,PV1 LV,0.8735922413793104,7.849941462315955,1.4333333333333333,1.4335629761005457,0.08231385294647833,0.3958286973087022
Escenario_3,PV2 LV,3.3350829824561408,24.152454552628676,4.593333333333333,4.58260571012529,0.16551202386798994,0.7286279135904432
Escenario_4,PV1 LV,0.8563664788732394,7.427288611993656,1.3533333333333333,1.3544899682889453,0.08230737826082576,0.395829847706625
Escenario_4,PV2 LV,7.040730740740741,47.884056657418604,9.236666666666666,9.190896085244018,0.36099277147521763,1.1791211568968987
Escenario_5,PV1 LV,0.8512112557748845,7.453316714716203,1.36,1.3584450316787207,0.08230543734345593,0.3958301788063189
Escenario_5,PV2 LV,5.982494020644512,40.7671946725748,7.926666666666667,7.890748162870728,0.3049160909863701,1.0883223703595093
Escenario_6,PV1 LV,0.8563664788732394,7.54253465862575,1.3766666666666667,1.3753483542423302,0.08230737695620206,0.39582984410728134
Escenario_6,PV2 LV,5.069326133333333,35.029594481440874,6.776666666666666,6.750927246991747,0.2490766150210617,0.97008958085666
