Escenario,Bus_LV,S_sc_HV_GSIM,SCR_HV_GSIM,GSIM_hv,Bus_HV,SCR_NRSCR,NRSCR,SCR_SDSCR,SDSCR_coupled,SDSCR_no_coupling,Z_device_LSCR,K_vtg_normal_LSCR,λSCR_normal_LSCR,SCR_scr
Escenario_1,PV1 LV,2840.5042,4.897421034482759,5.282953121224108,Bus 29,4.9,4.9,4.897421034482759,4.893624573513411,4.897421034482759,13.776041666666668,0.308934148984868,0.3295162535797651,3.144932068965517
Escenario_1,PV2 LV,5082.0322,13.373767847551983,14.063452522621784,Bus 26,13.37,13.37,13.373767856350517,13.347664463399438,13.373767856350517,20.6640625,0.4371769492466024,0.4965364504846807,10.005248947368422
Escenario_2,PV1 LV,2968.9081,4.389927289116582,4.792909549648453,Bus 29,4.39,4.39,4.389927376746353,4.387055672069603,4.389927376746353,10.332031249999998,0.2374961534616129,0.2469702147145533,2.6971175513825227
Escenario_2,PV2 LV,5210.4361,13.711672819763749,14.418783240787928,Bus 26,13.71,13.71,13.711672828784586,13.67992731238598,13.711672828784586,20.6640625,0.4371767841160858,0.4965361432794317,10.005248947368422
Escenario_3,PV1 LV,2995.1755,4.3034126882711305,4.709964877389573,Bus 29,4.3,4.3,4.303412697545726,4.300688928301637,4.303412697545726,10.332031249999998,0.2374972183852213,0.246941558839435,2.620776724137931
Escenario_3,PV2 LV,5236.7035,13.780797550921251,14.491472731577204,Bus 26,13.78,13.78,13.780797559987567,13.74781713037587,13.780797559987567,20.6640625,0.4371767481542659,0.4965360716039698,10.005248947368422
Escenario_4,PV1 LV,2885.9019,4.064650205576566,4.456373167196193,Bus 29,4.06,4.06,4.064650214163855,4.063469904866836,4.064650214163855,10.332031249999998,0.237497908623975,0.2469221347824773,2.569099436619718
Escenario_4,PV2 LV,4988.6962,27.71497648307496,28.73043399445116,Bus 26,27.71,27.71,27.71497657930751,27.572688255732054,27.71497657930751,44.77213541666666,0.7074726941381392,1.0829783144256528,21.12219222222222
Escenario_5,PV1 LV,2912.0036,4.076723148823748,4.471990028829722,Bus 29,4.08,4.08,4.07672322587227,4.075335095036162,4.07672322587227,10.332031249999998,0.2374981072837913,0.2469163120303678,2.5536337673246536
Escenario_5,PV2 LV,5036.8843,23.776831233416782,24.46031680354488,Bus 26,23.78,23.78,23.776831640285216,23.672244488612183,23.776831640285216,37.88411458333334,0.6529934222157056,0.9147482729591104,17.947482061933535
Escenario_6,PV1 LV,2930.6812,4.1277196366443984,4.52552079517545,Bus 29,4.13,4.13,4.127719645364932,4.12604506272699,4.127719645364932,10.332031249999998,0.2374979064643688,0.2469221308686062,2.569099436619718
Escenario_6,PV2 LV,5082.0323,20.328127929492,21.017756688864523,Bus 26,20.33,20.33,20.32812798031232,20.252781740975237,20.32812798031232,30.996093750000004,0.5820537485139959,0.7472298450631851,15.2079784
