Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.020567168989789726+0.216358310495325j),(0.00013393746668996254+0.0008451784450602477j),(-0.01087983096818474+0.01386846107929158j),(0.013239944644055581+0.07712819865919325j),(0.012155408530844382+0.0325186147857748j),(0.007321549859437447+0.041520059480284366j),(0.00011851235330271604+0.0008593735020418524j),(-0.003510520735211463+0.00759080294122848j),(-0.010353878460903914+0.014432312379147952j),(3.462119040820855e-05+4.398166292467073e-06j),(0.009092259967524809+0.0015545746880293088j)
Bus 2,(0.00013393746668996254+0.0008451784450602476j),(0.00975220255619546+0.19907802584217302j),(-0.011653522562652207+0.0126228359608942j),(0.00010631472470082128+0.0008657251660851847j),(0.008941508922859652+0.03306558479377965j),(-0.0041239658037574844+0.007139751524899971j),(0.00582327507618353+0.07697696649980386j),(0.003988259065212775+0.04086894509261347j),(-0.011186629298481895+0.013211717599156313j),(0.0030509398826830255+0.0005801003268558757j),(0.0001003964782320538+2.215061622831233e-05j)
Bus 3,(-0.010879830968184739+0.013868461079291574j),(-0.011653522562652207+0.012622835960894202j),(-1.3658772938513293+1.1824049129299083j),(-0.011577151141360452+0.013739521846420551j),(-0.008034933699445159+0.013273897240831225j),(-0.531301961670859+0.6229973924707132j),(-0.01206907931601042+0.01255630131333572j),(-0.5165377413082235+0.6218322905528972j),(-1.3239940317589771+1.1615208669671175j),(0.00036129620501292004+0.0006003078481189181j),(0.0010729048377614253+0.001825879300399839j)
Bus 4,(0.013239944644055581+0.07712819865919324j),(0.00010631472470082134+0.0008657251660851847j),(-0.01157715114136045+0.013739521846420556j),(0.010738168775401596+0.07903947981316409j),(0.011223288230475475+0.033558715599037336j),(0.005978404035523603+0.042555870104507565j),(9.009582476643838e-05+0.0008796353840341117j),(-0.0038465738449455582+0.00760735068894151j),(-0.011061478824127844+0.014332641099449756j),(3.51105573973679e-05+5.71415427955528e-06j),(0.009206539049447501+0.0019076371875297678j)
Bus 5,(0.012155408530844385+0.032518614785774794j),(0.00894150892285965+0.033065584793779634j),(-0.00803493369944516+0.013273897240831231j),(0.01122328823047548+0.03355871559903734j),(0.511668575509578+1.538186518084026j),(0.004790173292728974+0.021289854651097388j),(0.008388240207832829+0.033696443569571605j),(0.0037538588479298063+0.0212207223108118j),(-0.007515473371649568+0.013710777522120281j),(0.0013967014000655698+2.713380222464759e-05j),(0.004170397927679217+6.923943966132906e-05j)
Bus 6,(0.007321549859437447+0.041520059480284366j),(-0.004123965803757484+0.007139751524899971j),(-0.5313019616708591+0.6229973924707132j),(0.0059784040355236+0.042555870104507565j),(0.004790173292728974+0.021289854651097385j),(0.2669505943990924+1.9551594419608982j),(-0.0043255480210789045+0.007152455502559774j),(-0.1833664807611662+0.33142197979625626j),(-0.5079624905440262+0.6501660873615691j),(0.0002325085905527506+0.0002429309841306794j),(0.0049646417920636635+0.001005218048158023j)
Bus 7,(0.00011851235330271611+0.0008593735020418523j),(0.00582327507618353+0.07697696649980386j),(-0.01206907931601042+0.01255630131333572j),(9.00958247664384e-05+0.0008796353840341116j),(0.00838824020783283+0.03369644356957161j),(-0.0043255480210789045+0.007152455502559774j),(0.00433192312780827+0.07813976141951158j),(0.003208623348895408+0.041504590645362376j),(-0.011607866997365343+0.013162694281405839j),(0.003080484208174054+0.0006502071111455922j),(0.00010130623289701845+2.4499122116842714e-05j)
Bus 8,(-0.0035105207352114616+0.007590802941228478j),(0.003988259065212774+0.04086894509261346j),(-0.5165377413082235+0.6218322905528972j),(-0.0038465738449455587+0.00760735068894151j),(0.0037538588479298068+0.021220722310811804j),(-0.18336648076116624+0.3314219797962563j),(0.00320862334889541+0.041504590645362376j),(0.29514295479357355+1.9248594579125633j),(-0.4931489574244281+0.6483550062426213j),(0.0016457325389286008+0.0003101065684604375j),(0.000694631436534356+0.0007260266277148225j)
Bus 9,(-0.01035387846090391+0.014432312379147948j),(-0.011186629298481895+0.013211717599156314j),(-1.3239940317589771+1.1615208669671175j),(-0.011061478824127842+0.014332641099449756j),(-0.007515473371649567+0.013710777522120278j),(-0.5079624905440261+0.6501660873615691j),(-0.011607866997365343+0.013162694281405839j),(-0.49314895742442805+0.6483550062426214j),(-1.2827306429918022+1.2265853561817304j),(0.0003896806887308203+0.0005887450172846338j),(0.0011590627358633782+0.0017918339987757523j)
PV1 LV,(3.4621190408208555e-05+4.39816629246707e-06j),(0.003050939882683026+0.0005801003268558757j),(0.00036129620501291993+0.0006003078481189181j),(3.511055739736791e-05+5.714154279555281e-06j),(0.00139670140006557+2.7133802224647537e-05j),(0.00023250859055275056+0.00024293098413067944j),(0.003080484208174054+0.0006502071111455922j),(0.0016457325389286005+0.0003101065684604374j),(0.00038968068873082015+0.0005887450172846337j),(0.0031648870231585926+0.0007251110252378483j),(2.0127196475426292e-06-3.6783296390884405e-06j)
PV2 LV,(0.009092259967524805+0.001554574688029308j),(0.00010039647823205382+2.2150616228312335e-05j),(0.0010729048377614249+0.0018258793003998392j),(0.009206539049447498+0.0019076371875297675j),(0.0041703979276792175+6.923943966132928e-05j),(0.004964641792063663+0.0010052180481580227j),(0.00010130623289701847+2.4499122116842717e-05j),(0.000694631436534356+0.0007260266277148223j),(0.0011590627358633782+0.0017918339987757523j),(2.012719647542629e-06-3.6783296390884396e-06j),(0.009465239193353504+0.002190412054072849j)
