name,p,q,s,bus,v_actual
Load 03,322.0,2.4000000953674316,322.0089439758744,Bus 03,352.57995939553325
Load 04,500.0,184.0,532.7813810560576,Bus 04,345.81269646010196
Load 07,233.8000030517578,84.0,248.43196538892082,Bus 07,343.33055114955175
Load 08,522.0,176.0,550.8720359575352,Bus 08,342.55975773091467
Load 12,7.5,88.0,88.31902399823042,Bus 12,138.63980805596506
Load 15,320.0,153.0,,Bus 15,
Load 16,329.0,32.29999923706055,,Bus 16,
Load 18,158.0,30.0,160.82288394379697,Bus 18,353.02708325965773
Load 20,628.0,103.0,636.3906033247191,Bus 20,226.25187910429466
Load 21,274.0,115.0,297.1548417912789,Bus 21,348.283815659023
Load 23,247.5,84.5999984741211,261.55957207072595,Bus 23,346.80513117178106
Load 24,308.6000061035156,-92.19999694824219,322.07887730235547,Bus 24,353.9747262420284
Load 25,224.0,47.20000076293945,228.91885040778416,Bus 25,353.52725384887094
Load 26,139.0,17.0,140.03570973148243,Bus 26,365.920428877721
Load 27,281.0,75.5,290.96606331323244,Bus 27,358.40058175623057
Load 28,206.0,27.600000381469727,207.84070828655567,Bus 28,375.59677795913194
Load 29,283.5,26.899999618530273,284.7733484360447,Bus 29,378.1543322987296
Load 31,9.199999809265137,4.599999904632568,10.285912483250973,Bus 31,16.5
Load 39,1104.0,250.0,1131.952295814625,Bus 39,345.0000000938865
