name,voltage_kv,vm_pu,va_deg
Bus 01,345.000000,1.013492,-5.426340
Bus 02,345.000000,1.008769,-3.022243
Bus 03,345.000000,0.999685,-3.836569
Bus 04,345.000000,0.992082,-4.657624
Bus 05,345.000000,1.000975,-4.575982
Bus 06,345.000000,1.005192,-4.066012
Bus 07,345.000000,0.992063,-6.246342
Bus 08,345.000000,0.989878,-6.736828
Bus 09,345.000000,1.007653,-6.837901
Bus 10,345.000000,1.017574,-0.552551
Bus 11,345.000000,1.011869,-1.725222
Bus 12,138.000000,0.998866,-1.361000
Bus 13,345.000000,1.012676,-0.891391
Bus 14,345.000000,1.004801,-1.599025
Bus 15,345.000000,1.008429,1.943931
Bus 16,345.000000,1.008997,3.485210
Bus 17,345.000000,0.998525,0.561252
Bus 18,345.000000,0.996863,-1.575582
Bus 19,345.000000,1.040141,8.753801
Bus 20,230.000000,0.980429,7.746081
Bus 21,345.000000,0.998008,6.067648
Bus 22,345.000000,1.005917,10.905612
Bus 23,345.000000,0.998839,10.697416
Bus 24,345.000000,1.011136,3.618572
Bus 25,345.000000,0.996783,-2.850215
Bus 26,345.000000,0.976376,0.682710
Bus 27,345.000000,0.980401,-0.683662
Bus 28,345.000000,0.948730,1.392374
Bus 29,345.000000,0.940739,3.642404
Bus 30,16.500000,1.000000,-0.386964
Bus 31,16.500000,1.000000,0.000000
Bus 32,16.500000,1.000000,7.304245
Bus 33,16.500000,1.000000,13.970639
Bus 34,16.500000,1.000000,13.063178
Bus 35,16.500000,1.000000,16.340433
Bus 36,16.500000,1.000000,19.458394
Bus 39,345.000000,1.000000,-6.844760
PV1 LV,0.480000,0.932591,5.662997
PV2 LV,0.480000,0.971396,1.907114
