Nodo;Corriente Cortocircuito Ikss [kA];Potencia Cortocircuito Skss [MVA]
Bus 01;10,1607;6071,6083
Bus 02;13,8883;8299,0780
Bus 03;12,8130;7656,5280
Bus 04;12,9000;7708,4812
Bus 05;13,6876;8179,1379
Bus 06;14,2782;8532,0253
Bus 07;11,0727;6616,5873
Bus 08;11,4589;6847,3736
Bus 09;10,0501;6005,5129
Bus 10;13,3751;7992,4140
Bus 11;12,9027;7710,0783
Bus 12;13,7094;3276,8585
Bus 13;12,3584;7384,8415
Bus 14;12,6017;7530,2692
Bus 15;11,7780;7038,0474
Bus 16;16,2336;9700,5323
Bus 17;13,0268;7784,2604
Bus 18;11,3316;6771,2597
Bus 19;13,3819;7996,4461
Bus 20;14,5165;5782,9785
Bus 21;11,2537;6724,7174
Bus 22;12,7910;7643,3737
Bus 23;11,6340;6951,9968
Bus 24;12,1735;7274,3952
Bus 25;9,5285;5693,8334
Bus 26;7,4782;4468,6809
Bus 27;8,2034;4902,0065
Bus 28;3,8818;2319,5873
Bus 29;3,8200;2282,6464
Bus 30;296,7741;8481,4582
Bus 31;227,6479;6505,9116
Bus 32;251,1353;7177,1544
Bus 33;262,0110;7487,9693
Bus 34;196,2142;5607,5733
Bus 35;259,0915;7404,5352
Bus 36;214,8053;6138,8850
Bus 39;96,7198;57795,6274
PV1 LV;2466,1966;2050,3573
PV2 LV;4471,3743;3717,4307
