name,voltage_nom,voltage_actual,angle_actual,p_load,q_load,p_gen,q_gen,p_net,q_net
Bus 1,16.5,16.5,0.0,0.0,0.0,247.49999680474346,142.924269042904,247.49999680474346,142.924269042904
Bus 2,18.0,18.0,0.0,0.0,0.0,163.19999735024263,115.20000597484074,163.19999735024263,115.20000597484074
Bus 3,13.800000190734863,13.800000190734863,0.0,0.0,0.0,-506.79301577946774,76.80000272648974,-506.79301577946774,76.80000272648974
Bus 4,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 5,230.0,230.0,0.0,125.0,50.0,0.0,0.0,-125.0,-50.0
Bus 6,230.0,230.0,0.0,90.0,30.0,0.0,0.0,-90.0,-30.0
Bus 7,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus 8,230.0,230.0,0.0,100.0,35.0,0.0,0.0,-100.0,-35.0
Bus 9,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PV1 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,295300.03125,67328.3046875,295300.03125,67328.3046875
PV2 LV,0.47999998927116394,0.47999998927116394,0.0,0.0,0.0,120102.0078125,27383.240234375,120102.0078125,27383.240234375
