Bus,Bus 1,Bus 2,Bus 3,Bus 4,Bus 5,Bus 6,Bus 7,Bus 8,Bus 9,PV1 LV,PV2 LV
Bus 1,(0.018663180375849627+0.21088187134279263j),(0.00016080828306167793+0.0008136515575506368j),(-0.009325555536844315+0.017612254534539684j),(0.011618961292648838+0.07287555050350962j),(0.011117420697897984+0.030803058509702278j),(0.007232571403173505+0.041226084618749985j),(0.0001465254305637331+0.0008286486289538237j),(-0.0025626426769479655+0.009080132469424636j),(-0.008833201666943841+0.018025180885059056j),(6.609131734011575e-05-2.1789585161669494e-05j),(0.007600849471455438-0.002166425624011504j)
Bus 2,(0.00016080828306167785+0.0008136515575506365j),(0.012495958576050807+0.1966772021481756j),(-0.009906159143897359+0.01746133836153849j),(0.00013587352889768127+0.0008399455352028312j),(0.009994902203535409+0.03186531616787408j),(-0.0030015332990871043+0.009142179737458594j),(0.008663685455723156+0.07476427141406078j),(0.006230357435248341+0.041649974944581405j),(-0.009422483085318121+0.01789155213991534j),(0.006016914095757982-0.0015930104378940812j),(8.758051801877868e-05-2.5177705129040626e-05j)
Bus 3,(-0.009325555536844318+0.017612254534539684j),(-0.00990615914389736+0.017461338361538493j),(-1.3414105401163017+1.7027222121621721j),(-0.010188937253625423+0.017724989353306273j),(-0.005985963329897973+0.016876796665300987j),(-0.4847432598043998+0.8539359922014778j),(-0.010405019138144867+0.01751069598740914j),(-0.4672599378046751+0.849657554274395j),(-1.2967797956037375+1.6686112323117572j),(0.0015562369336303734+0.0006446144824557409j),(0.002014952591699041+0.0008570276719219209j)
Bus 4,(0.011618961292648838+0.07287555050350962j),(0.00013587352889768133+0.0008399455352028316j),(-0.010188937253625427+0.01772498935330628j),(0.009315296319035746+0.07513137563358517j),(0.0103005539205421+0.031977745796031194j),(0.005946047058106449+0.042525727391757896j),(0.0001206952187956702+0.0008548125708992648j),(-0.002951024189531769+0.009218273876290515j),(-0.009698857326410572+0.018165898849571364j),(6.853817358697704e-05-1.9984745456899372e-05j),(0.007870151272069354-0.0019502798738860502j)
Bus 5,(0.011117420697897985+0.030803058509702278j),(0.009994902203535412+0.03186531616787408j),(-0.005985963329897975+0.016876796665300994j),(0.010300553920542096+0.03197774579603119j),(0.5115196738657158+1.5369869025955682j),(0.005414420115825036+0.022077716453303784j),(0.00948877634544169+0.03252807272564358j),(0.005318449553365124+0.022032016642635502j),(-0.005494253594115115+0.017179462051297636j),(0.002550191578483429-0.0011612051076146648j),(0.0032687953353965843-0.0015038014873377456j)
Bus 6,(0.007232571403173507+0.041226084618749985j),(-0.0030015332990871025+0.009142179737458596j),(-0.4847432598043998+0.8539359922014778j),(0.005946047058106451+0.04252572739175789j),(0.00541442011582504+0.022077716453303784j),(0.30303475062129237+2.0544864124109328j),(-0.0032312558452381114+0.00921259584637662j),(-0.14574338757921876+0.42987335252287007j),(-0.46109132881889514+0.8749844329916006j),(0.0007922383392628596+0.00015555734117655837j),(0.004446046709814879-0.0011755024685448712j)
Bus 7,(0.00014652543056373302+0.0008286486289538239j),(0.008663685455723156+0.07476427141406078j),(-0.010405019138144867+0.01751069598740914j),(0.00012069521879567012+0.0008548125708992648j),(0.009488776345441688+0.032528072725643585j),(-0.003231255845238114+0.009212595846376622j),(0.0072632513894387305+0.07601761610572j),(0.0054704150934464565+0.04237683387546244j),(-0.009923154505400975+0.01795697183578963j),(0.006136055071669936-0.0014932047406462931j),(8.935530266288153e-05-2.3753621515315726e-05j)
Bus 8,(-0.0025626426769479655+0.009080132469424637j),(0.006230357435248341+0.0416499749445814j),(-0.467259937804675+0.8496575542743952j),(-0.0029510241895317675+0.009218273876290515j),(0.005318449553365126+0.0220320166426355j),(-0.14574338757921879+0.4298733525228701j),(0.005470415093446457+0.04237683387546244j),(0.33418078822209707+2.0211384956498177j),(-0.443624879747362+0.8701258699274732j),(0.0034038046280720343-0.0009487454686842496j),(0.001017927860003131+0.00019604449258877742j)
Bus 9,(-0.008833201666943843+0.01802518088505906j),(-0.009422483085318123+0.017891552139915348j),(-1.2967797956037375+1.6686112323117575j),(-0.009698857326410567+0.018165898849571357j),(-0.005494253594115111+0.01717946205129764j),(-0.46109132881889514+0.8749844329916006j),(-0.009923154505400976+0.017956971835789638j),(-0.44362487974736214+0.8701258699274733j),(-1.2529232689852519+1.7207625125997696j),(0.0015870670772022391+0.0005998985044095219j),(0.0020555766959974146+0.0007992824959080994j)
PV1 LV,(6.609131734011572e-05-2.1789585161669487e-05j),(0.006016914095757981-0.0015930104378940812j),(0.0015562369336303732+0.0006446144824557409j),(6.853817358697701e-05-1.998474545689937e-05j),(0.0025501915784834285-0.0011612051076146644j),(0.0007922383392628595+0.0001555573411765584j),(0.006136055071669936-0.0014932047406462931j),(0.0034038046280720335-0.000948745468684249j),(0.0015870670772022387+0.0005998985044095219j),(0.0063531168415728295-0.0014303737941313717j),(-3.000601053238643e-06-7.032766679457192e-06j)
PV2 LV,(0.007600849471455439-0.0021664256240115044j),(8.758051801877868e-05-2.5177705129040616e-05j),(0.0020149525916990413+0.0008570276719219212j),(0.007870151272069354-0.0019502798738860504j),(0.0032687953353965856-0.0015038014873377458j),(0.004446046709814878-0.001175502468544871j),(8.935530266288152e-05-2.375362151531572e-05j),(0.001017927860003131+0.00019604449258877748j),(0.002055576695997415+0.0007992824959080994j),(-3.000601053238643e-06-7.032766679457191e-06j),(0.008198935741757682-0.0018338884689987828j)
